,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.93,0.88,0.71,0.76,0.92,0.86,0.88,0.5,0.67,0.0
flylegacy.csv,0.41,0.71,0.4,0.64,0.65,0.67,0.4,0.44,0.44,0.59
jguard.csv,0.39,0.48,0.45,0.4,0.46,0.61,0.39,0.32,0.39,0.62
m-a-d-n-e-s-s.csv,0.9,0.0,0.61,0.98,0.88,0.67,0.67,0.86,0.57,0.86
mob-sen-plat.csv,0.34,0.35,0.33,0.33,0.29,0.35,0.33,0.28,0.36,0.38
raygina.csv,0.45,0.0,0.4,0.44,0.81,0.54,0.83,0.8,0.55,0.56
st-filteredstatistics.csv,0.35,0.52,0.34,0.34,0.31,0.47,0.38,0.32,0.4,0.44
upp-mirror.csv,0.49,0.8,0.35,0.53,0.39,0.73,0.59,0.65,0.63,0.77
wishmaster.csv,0.83,0.67,0.46,0.62,0.37,0.46,0.72,0.86,0.62,0.59
yarp.csv,0.92,0.67,0.49,0.82,0.75,0.52,0.89,0.91,0.61,0.59
