,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,7.0,0.0,0.0,32.0,62.0,1.0,0.0,0.0,9.0,1.0,0.0,3.0,0.0,1.0,0.0
autowikibrowser.csv,2.0,2.0,1.0,37.0,3.0,5.0,0.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,9.0
blue-c.csv,29.0,7.0,2.0,40.0,62.0,7.0,4.0,0.0,4.0,32.0,0.0,8.0,7.0,13.0,2.0
dynalloy.csv,40.0,5.0,1.0,35.0,62.0,8.0,3.0,1.0,5.0,33.0,0.0,9.0,11.0,12.0,2.0
hydrogen.csv,15.0,11.0,2.0,48.0,1.0,8.0,8.0,2.0,0.0,33.0,52.0,0.0,15.0,21.0,0.0
jcae.csv,92.0,6.0,3.0,2.0,62.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0
lphant.csv,19.0,10.0,2.0,48.0,1.0,4.0,4.0,2.0,4.0,26.0,0.0,2.0,12.0,12.0,0.0
nosleepsoftware.csv,3.0,2.0,2.0,4.0,7.0,3.0,1.0,54.0,115.0,6.0,52.0,3.0,8.0,1.0,0.0
qgo.csv,20.0,0.0,1.0,35.0,0.0,10.0,1.0,0.0,5.0,3.0,7.0,10.0,7.0,2.0,0.0
quickfast.csv,24.0,3.0,1.0,41.0,1.0,8.0,7.0,2.0,10.0,3.0,15.0,0.0,12.0,28.0,0.0
rhex.csv,6.0,4.0,3.0,34.0,1.0,2.0,7.0,1.0,12.0,0.0,9.0,0.0,13.0,4.0,5.0
rocrail.csv,7.0,1.0,2.0,50.0,4.0,4.0,1.0,0.0,0.0,3.0,5.0,2.0,4.0,0.0,0.0
virtuoso.csv,27.0,7.0,2.0,48.0,1.0,8.0,8.0,2.0,5.0,0.0,5.0,0.0,14.0,37.0,0.0
xined.csv,92.0,64.0,142.0,87.0,62.0,1673.0,130.0,54.0,115.0,181.0,0.0,54.0,97.0,101.0,78.0
yield.csv,17.0,1.0,1.0,48.0,12.0,8.0,0.0,1.0,17.0,10.0,0.0,5.0,2.0,20.0,6.0
