,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.68,0.47,0.66,0.77,1.03,0.5,0.53,0.5,0.37,0.63,0.64,0.56,0.5,0.35,0.62
autowikibrowser.csv,0.45,0.58,0.77,0.86,0.51,0.61,0.41,0.56,0.49,0.59,0.6,0.44,0.38,0.43,0.56
blue-c.csv,0.73,0.82,0.81,0.87,1.14,0.82,0.61,0.22,0.91,0.98,0.88,0.7,0.65,0.5,0.91
dynalloy.csv,0.84,0.71,0.32,0.82,1.13,0.79,0.49,0.57,0.89,0.83,0.91,0.72,0.71,0.62,0.59
hydrogen.csv,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.7
jcae.csv,1.0,0.63,0.92,0.22,1.01,0.65,0.76,0.48,0.56,0.83,0.9,0.77,0.52,0.39,0.94
lphant.csv,0.81,0.78,0.87,1.0,0.87,0.62,0.72,0.51,0.72,0.89,0.65,0.44,0.68,0.6,0.39
nosleepsoftware.csv,0.67,0.69,0.98,0.89,0.37,0.96,0.97,1.0,1.0,0.93,1.0,0.96,0.91,0.72,0.72
qgo.csv,0.83,0.2,0.83,0.84,0.71,0.51,0.53,0.84,0.42,0.63,0.7,0.94,0.82,0.71,0.41
quickfast.csv,0.89,0.62,0.71,0.91,0.83,0.57,0.72,0.97,0.56,0.54,0.78,0.91,0.86,0.78,0.32
rhex.csv,0.35,0.65,0.88,0.86,0.38,0.72,0.79,0.84,0.52,0.78,0.83,0.95,0.82,0.68,0.69
rocrail.csv,0.61,0.51,0.67,0.91,0.47,0.85,0.78,0.42,0.4,0.59,0.61,0.63,0.56,0.31,0.65
virtuoso.csv,0.91,0.8,0.99,0.99,1.0,0.91,0.94,1.0,0.89,0.57,0.79,0.97,0.9,0.94,0.77
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,1.0,1.0,1.0,1.0
yield.csv,0.73,0.67,0.88,1.0,0.69,0.91,0.29,0.4,0.66,0.77,0.84,0.7,0.53,0.73,0.68
