,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.58,0.42,0.58,0.0,0.63,0.53,0.56,0.71,0.7,0.7,0.69,0.66,0.79,0.65
autowikibrowser.csv,0.68,0.66,0.52,0.45,0.67,0.66,0.66,0.52,0.59,0.63,0.59,0.63,0.71,0.84,0.72
blue-c.csv,0.44,0.51,0.53,0.43,0.0,0.51,0.69,0.82,0.33,0.09,0.41,0.61,0.58,0.69,0.36
dynalloy.csv,0.35,0.59,0.81,0.49,0.0,0.53,0.72,0.48,0.39,0.47,0.33,0.61,0.56,0.49,0.63
hydrogen.csv,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.61
jcae.csv,0.0,0.67,0.12,0.95,0.0,0.53,0.28,0.58,0.49,0.2,0.12,0.27,0.59,0.78,0.07
lphant.csv,0.53,0.55,0.42,0.0,0.42,0.61,0.62,0.74,0.63,0.38,0.44,0.68,0.65,0.75,0.75
nosleepsoftware.csv,0.38,0.38,0.02,0.13,0.71,0.05,0.04,0.0,0.0,0.09,0.0,0.06,0.13,0.36,0.33
qgo.csv,0.49,0.87,0.44,0.49,0.6,0.69,0.63,0.48,0.73,0.67,0.62,0.24,0.54,0.67,0.84
quickfast.csv,0.37,0.66,0.52,0.33,0.51,0.64,0.51,0.17,0.74,0.62,0.48,0.33,0.45,0.56,0.77
rhex.csv,0.8,0.62,0.18,0.35,0.71,0.4,0.28,0.2,0.54,0.35,0.24,0.06,0.29,0.44,0.42
rocrail.csv,0.46,0.57,0.61,0.4,0.64,0.45,0.26,0.64,0.66,0.66,0.52,0.67,0.52,0.86,0.41
virtuoso.csv,0.37,0.55,0.05,0.05,0.0,0.32,0.24,0.0,0.39,0.52,0.34,0.13,0.36,0.24,0.27
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0
yield.csv,0.53,0.66,0.4,0.0,0.57,0.33,0.77,0.78,0.68,0.59,0.49,0.65,0.7,0.64,0.64
