,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.97,0.93,0.94,0.65,0.78,0.89,0.0,1.0,0.92,0.95,0.79,0.92,0.92,0.86,0.84,0.84,0.74,0.69,0.83
aubit4gl.csv,0.77,0.73,0.64,0.87,0.6,0.93,0.93,1.02,0.06,0.69,0.79,0.85,0.71,0.87,0.8,0.97,0.87,0.74,0.46
ipfilter.csv,0.98,0.96,0.82,0.66,0.78,0.91,0.92,0.98,0.8,0.94,0.51,0.93,0.82,0.99,0.69,0.72,0.0,0.63,0.75
jmol.csv,0.71,0.76,0.75,0.72,0.57,0.81,0.99,0.85,0.81,0.78,0.78,0.04,0.68,0.93,0.71,0.66,0.28,0.82,0.63
liferea.csv,0.68,0.83,1.04,0.63,0.6,0.08,0.93,0.39,0.86,0.5,0.56,0.59,0.75,0.62,0.74,0.73,0.71,0.7,0.95
miranda-icq.csv,0.76,0.78,0.87,0.64,0.84,0.6,0.79,0.54,0.82,0.71,0.68,0.62,0.91,0.76,0.83,0.06,0.86,1.11,0.74
moving-pictures.csv,0.61,0.63,0.76,0.76,0.78,0.69,0.91,1.22,0.71,0.74,0.64,0.71,0.8,0.66,0.0,0.7,0.74,0.54,0.87
opensim4opencog.csv,0.82,0.82,1.01,0.85,0.8,0.77,0.65,0.68,0.96,0.98,0.22,0.82,0.86,0.91,0.93,0.55,0.98,0.89,0.95
pclasses.csv,0.7,0.09,1.0,0.61,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.99,1.0,1.0,0.9,1.0,1.0,1.0,0.92
pfaedit.csv,0.66,1.0,0.96,0.69,0.65,0.65,0.85,0.58,0.77,0.02,0.67,0.55,0.68,0.61,0.81,0.67,0.76,0.75,0.53
plearn.csv,0.14,0.69,0.49,0.74,0.63,0.66,0.78,0.76,0.82,0.73,0.74,0.58,0.84,0.81,0.82,0.68,0.72,0.94,0.91
psrchive.csv,0.8,0.84,0.68,0.93,0.0,1.02,0.94,1.01,0.72,0.91,0.91,0.92,0.82,0.83,1.0,0.88,0.92,0.84,0.95
re2c.csv,0.58,0.79,0.0,0.8,0.45,0.87,0.96,0.44,0.54,0.9,0.9,0.88,0.78,0.92,0.79,0.76,0.79,0.85,0.85
rockbox.csv,0.69,0.69,0.52,0.73,0.55,0.77,0.55,0.75,0.65,0.58,0.78,0.87,0.65,0.82,0.75,0.67,0.79,0.61,0.06
theresa.csv,0.97,1.0,1.0,0.96,0.93,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
tktoolkit.csv,0.72,0.89,0.98,0.79,0.87,0.86,1.07,0.82,0.94,0.97,0.8,0.83,0.92,0.22,0.63,0.76,0.64,0.76,1.0
tzod.csv,0.76,0.56,0.69,0.04,0.55,0.68,0.51,0.16,0.57,0.51,0.58,0.77,0.69,0.67,0.67,0.69,0.81,0.68,0.68
yaprm.csv,0.67,0.65,0.63,1.0,0.59,0.87,0.9,0.62,0.84,0.96,0.75,0.99,0.06,0.84,0.75,0.79,0.75,0.88,0.95
zemljanka.csv,0.9,0.93,1.0,0.96,0.97,0.98,0.97,0.98,0.9,1.0,0.96,1.0,0.8,0.98,0.95,0.97,0.95,0.0,1.0
