,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.97,0.93,0.94,0.58,0.77,0.89,0.0,1.0,0.92,0.94,0.73,0.91,0.92,0.85,0.77,0.83,0.74,0.67,0.81
aubit4gl.csv,0.55,0.36,0.39,0.67,0.59,0.61,0.0,0.18,0.04,0.51,0.28,0.65,0.42,0.27,0.35,0.11,0.58,0.44,0.41
ipfilter.csv,0.97,0.95,0.82,0.46,0.65,0.91,0.9,0.92,0.79,0.94,0.48,0.91,0.79,0.99,0.65,0.71,0.0,0.56,0.72
jmol.csv,0.45,0.23,0.67,0.27,0.44,0.75,0.93,0.52,0.79,0.77,0.7,0.04,0.53,0.93,0.61,0.58,0.11,0.78,0.06
liferea.csv,0.17,0.12,0.29,0.29,0.17,0.0,0.0,0.2,0.31,0.29,0.2,0.39,0.18,0.34,0.19,0.27,0.32,0.11,0.06
miranda-icq.csv,0.23,0.55,0.24,0.46,0.31,0.27,0.1,0.54,0.31,0.2,0.55,0.3,0.18,0.55,0.42,0.01,0.37,0.78,0.06
moving-pictures.csv,0.49,0.61,0.69,0.73,0.75,0.32,0.79,0.7,0.46,0.71,0.38,0.57,0.79,0.46,0.0,0.56,0.42,0.44,0.84
opensim4opencog.csv,0.07,0.05,0.14,0.06,0.16,0.02,0.14,0.12,0.04,0.03,0.0,0.13,0.18,0.04,0.0,0.27,0.05,0.11,0.09
pclasses.csv,0.23,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.84
pfaedit.csv,0.45,0.09,0.47,0.17,0.41,0.45,0.0,0.48,0.6,0.0,0.36,0.43,0.45,0.46,0.39,0.27,0.26,0.33,0.09
plearn.csv,0.01,0.43,0.35,0.56,0.25,0.39,0.59,0.76,0.79,0.43,0.24,0.52,0.82,0.23,0.74,0.57,0.68,0.89,0.53
psrchive.csv,0.1,0.2,0.12,0.0,0.0,0.18,0.28,0.14,0.17,0.11,0.02,0.13,0.11,0.08,0.06,0.17,0.21,0.0,0.03
re2c.csv,0.25,0.3,0.0,0.19,0.4,0.41,0.72,0.28,0.27,0.23,0.22,0.09,0.39,0.12,0.58,0.45,0.53,0.33,0.56
rockbox.csv,0.61,0.43,0.16,0.69,0.35,0.55,0.41,0.34,0.56,0.49,0.49,0.52,0.61,0.35,0.68,0.58,0.58,0.33,0.03
theresa.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
tktoolkit.csv,0.7,0.89,0.98,0.77,0.87,0.16,0.86,0.82,0.94,0.97,0.39,0.78,0.92,0.0,0.26,0.44,0.47,0.22,1.0
tzod.csv,0.71,0.14,0.47,0.0,0.41,0.3,0.14,0.16,0.52,0.46,0.43,0.57,0.61,0.47,0.29,0.37,0.11,0.0,0.25
yaprm.csv,0.39,0.54,0.53,0.62,0.47,0.2,0.0,0.62,0.21,0.4,0.15,0.39,0.03,0.17,0.23,0.2,0.21,0.33,0.75
zemljanka.csv,0.9,0.91,1.0,0.96,0.97,0.98,0.97,0.98,0.9,1.0,0.96,1.0,0.79,0.98,0.94,0.97,0.95,0.0,1.0
