,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.93,1.0,1.0,0.7,0.93,1.0,1.0,1.0,0.93,0.91,0.7,0.89,1.0,0.87,0.68,0.88,0.89,0.84,0.84
aubit4gl.csv,0.46,0.36,0.5,0.44,0.86,0.31,0.07,0.0,0.96,0.54,0.26,0.46,0.43,0.17,0.29,0.04,0.35,0.41,0.79
ipfilter.csv,0.92,0.82,1.0,0.52,0.57,1.0,0.8,0.67,0.91,1.0,0.83,0.84,0.78,1.0,0.75,0.88,1.0,0.71,0.79
jmol.csv,0.44,0.27,0.67,0.33,0.64,0.69,0.66,0.33,0.85,0.89,0.65,1.0,0.57,0.91,0.64,0.69,0.74,0.73,0.37
liferea.csv,0.34,0.18,0.0,0.44,0.43,0.92,0.07,0.67,0.2,0.59,0.48,0.55,0.27,0.48,0.29,0.33,0.37,0.31,0.05
miranda-icq.csv,0.27,0.45,0.17,0.56,0.21,0.46,0.22,1.0,0.24,0.31,0.61,0.47,0.11,0.48,0.29,0.94,0.22,0.21,0.26
moving-pictures.csv,0.64,0.82,0.67,0.78,0.79,0.38,0.56,0.0,0.46,0.81,0.48,0.56,0.89,0.52,1.0,0.58,0.39,0.7,0.79
opensim4opencog.csv,0.19,0.18,0.0,0.15,0.21,0.23,0.37,0.33,0.04,0.02,0.78,0.19,0.16,0.09,0.07,0.52,0.02,0.11,0.05
pclasses.csv,0.34,0.91,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.11,0.0,0.0,0.0,0.63
pfaedit.csv,0.53,0.0,0.17,0.33,0.5,0.54,0.15,0.67,0.52,0.98,0.43,0.66,0.49,0.61,0.29,0.38,0.28,0.33,0.47
plearn.csv,0.86,0.45,0.67,0.52,0.43,0.46,0.49,1.0,0.78,0.41,0.3,0.75,0.78,0.22,0.64,0.63,0.76,0.7,0.26
psrchive.csv,0.2,0.18,0.33,0.07,1.0,0.0,0.1,0.0,0.3,0.09,0.09,0.09,0.19,0.17,0.0,0.13,0.11,0.16,0.05
re2c.csv,0.47,0.27,1.0,0.22,0.79,0.23,0.37,0.67,0.54,0.13,0.13,0.13,0.32,0.09,0.46,0.38,0.41,0.22,0.37
rockbox.csv,0.68,0.45,0.5,0.74,0.57,0.46,0.63,0.33,0.67,0.69,0.39,0.31,0.76,0.26,0.68,0.67,0.46,0.5,0.95
theresa.csv,0.03,0.0,0.0,0.04,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
tktoolkit.csv,0.85,1.0,1.0,0.81,0.93,0.15,0.37,1.0,0.98,0.94,0.3,0.72,0.97,0.78,0.43,0.38,0.57,0.27,0.95
tzod.csv,0.71,0.45,0.5,0.96,0.64,0.38,0.51,1.0,0.76,0.78,0.61,0.48,0.68,0.52,0.39,0.42,0.2,0.32,0.37
yaprm.csv,0.46,0.64,0.67,0.22,0.64,0.15,0.1,1.0,0.19,0.13,0.26,0.09,0.95,0.17,0.29,0.23,0.28,0.19,0.42
zemljanka.csv,0.95,0.82,1.0,0.96,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.93,0.86,1.0,0.86,0.98,0.96,1.0,0.95
