,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.42,0.25,0.31,0.11,0.14,0.24,0.15,0.64,0.33,0.08,0.41,0.24,0.99,0.57,0.19,0.69,0.33
amygdala.csv,0.51,0.48,0.44,0.11,0.19,0.43,0.6,0.36,1.0,0.0,0.59,0.97,0.35,0.45,0.31,0.47,0.39
awemud.csv,0.99,0.89,0.62,0.31,0.72,0.43,0.75,0.55,1.0,0.0,0.71,0.53,0.69,0.48,0.77,0.69,0.92
bullet.csv,0.73,0.87,0.75,0.78,0.96,1.0,0.73,0.55,0.83,0.33,0.82,0.87,0.88,0.81,0.58,0.56,0.84
customwars.csv,0.04,0.51,0.0,0.31,0.69,0.1,0.17,0.64,0.5,0.08,0.88,0.03,0.58,0.41,0.58,0.58,0.63
dvd-create.csv,0.79,0.86,0.69,0.27,1.0,0.76,0.92,0.82,1.0,0.42,0.82,0.89,0.57,0.83,0.85,0.53,0.76
gbif-indexingtoolkit.csv,0.21,0.47,0.38,0.89,0.23,0.24,0.06,0.91,0.33,0.08,0.24,0.05,0.43,0.04,0.31,0.5,0.69
go.csv,0.74,0.99,0.44,0.31,0.66,0.61,0.88,0.55,1.0,0.17,0.82,0.74,0.79,0.72,0.85,0.36,0.8
growl-for-windows.csv,0.67,0.67,0.44,0.64,0.72,0.66,0.62,0.64,1.0,0.42,0.65,0.74,0.85,0.36,0.62,1.0,0.8
kwave.csv,0.22,0.25,1.0,0.04,0.45,0.19,0.35,0.36,0.33,0.25,0.35,0.42,0.19,0.32,0.08,0.17,0.35
libarchive.csv,0.59,0.59,0.44,0.33,0.39,0.55,0.56,0.64,1.0,0.0,0.65,0.42,0.78,0.61,0.58,0.67,0.94
linux-ntfs.csv,0.51,0.54,0.38,0.18,0.38,0.55,0.48,0.55,1.0,0.42,0.41,0.26,0.67,0.32,1.0,0.42,0.43
lsb.csv,0.82,0.77,0.81,0.96,0.74,0.87,0.79,0.91,0.67,0.08,0.94,0.76,0.8,0.84,0.54,0.86,0.76
mpgravity.csv,0.49,0.56,0.44,0.56,0.23,0.58,0.44,0.64,1.0,0.92,0.35,0.29,0.87,0.85,0.62,0.53,0.71
qcad2.csv,0.47,0.78,0.38,0.82,0.73,0.42,0.94,0.82,0.33,0.75,0.47,0.24,0.7,0.63,0.58,0.64,0.8
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.26,0.77,0.25,0.64,0.62,0.34,0.77,0.55,0.17,0.5,0.65,0.55,0.67,1.0,0.54,0.25,0.55
