,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.58,0.73,0.5,0.8,0.92,0.74,0.93,0.42,0.95,0.5,0.64,0.64,0.56,0.53,0.86,0.69,0.77
amygdala.csv,0.43,0.45,0.43,0.86,0.87,0.44,0.49,0.44,0.59,0.5,0.5,0.51,0.7,0.57,0.93,0.52,0.62
awemud.csv,0.43,0.43,0.56,0.8,0.42,0.53,0.49,0.39,0.51,0.0,0.38,0.56,0.57,0.45,0.39,0.59,0.45
bullet.csv,0.43,0.4,0.37,0.71,0.38,0.39,0.5,0.52,0.55,0.6,0.32,0.41,0.45,0.37,0.44,0.36,0.46
customwars.csv,0.67,0.57,0.0,0.81,0.48,0.9,0.9,0.43,0.99,0.0,0.93,0.0,0.65,0.57,0.48,0.79,0.55
dvd-create.csv,0.34,0.39,0.37,0.96,0.41,0.36,0.42,0.36,0.47,0.69,0.33,0.41,0.51,0.33,0.33,0.34,0.41
gbif-indexingtoolkit.csv,0.95,0.64,0.92,0.67,0.96,0.9,0.86,0.9,0.98,0.0,0.94,0.91,0.64,0.75,0.91,0.74,0.56
go.csv,0.43,0.45,0.5,0.76,0.47,0.4,0.5,0.39,0.54,0.91,0.38,0.44,0.46,0.35,0.41,0.44,0.55
growl-for-windows.csv,0.44,0.43,0.6,0.7,0.4,0.4,0.57,0.48,0.58,0.8,0.43,0.47,0.49,0.54,0.5,0.56,0.52
kwave.csv,0.95,0.82,0.94,0.83,0.66,0.94,0.89,0.71,0.81,0.75,0.51,0.71,0.99,0.83,0.88,0.9,0.81
libarchive.csv,0.44,0.41,0.43,0.74,0.53,0.37,0.47,0.38,0.43,0.0,0.4,0.48,0.43,0.41,0.39,0.6,0.57
linux-ntfs.csv,0.5,0.52,0.65,0.9,0.71,0.42,0.62,0.58,0.71,0.56,0.58,0.83,0.55,0.66,0.54,0.42,0.69
lsb.csv,0.35,0.38,0.4,0.6,0.4,0.34,0.52,0.35,0.51,0.5,0.36,0.41,0.44,0.38,0.41,0.45,0.47
mpgravity.csv,0.48,0.57,0.68,0.67,0.78,0.44,0.59,0.48,0.5,0.82,0.58,0.61,0.44,0.38,0.41,0.74,0.54
qcad2.csv,0.65,0.41,0.95,0.61,0.44,0.66,0.6,0.43,0.79,0.42,0.49,0.75,0.54,0.5,0.58,0.67,0.49
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.79,0.48,0.86,0.62,0.47,0.62,0.49,0.47,0.56,0.68,0.38,0.53,0.55,0.44,0.41,0.56,0.67
