,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.8,0.67,0.71,1.0
neoengine.csv,0.98,0.48,0.65,0.61
omseek.csv,0.14,0.97,0.17,0.06
pcsx2.csv,0.76,0.64,0.98,0.68
