,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.46,0.09,0.0,0.29,0.0,0.0,0.1,0.6,0.44,0.53,0.0,0.16,0.32,0.36,0.57,0.04,0.0
dvd-create.csv,0.82,0.8,0.7,0.0,0.9,0.36,0.97,0.7,0.9,0.84,0.74,0.61,0.81,0.67,0.94,0.91,0.55,0.71
echongl.csv,0.03,0.55,0.35,0.92,0.48,0.14,0.01,0.2,0.1,0.82,0.38,0.18,0.34,0.58,0.33,0.53,0.29,0.11
empserver.csv,0.34,0.77,0.87,0.92,0.62,0.67,0.25,0.4,0.7,0.97,0.72,0.47,0.94,0.81,0.28,0.89,0.64,0.29
gdis.csv,0.65,0.88,0.39,0.92,0.75,0.5,0.53,0.4,0.85,0.83,0.32,0.81,0.59,0.58,0.19,0.79,0.66,0.76
gmerlin.csv,0.86,0.0,0.0,0.0,0.73,0.69,0.58,1.0,1.0,0.06,0.77,0.63,0.66,0.4,0.72,1.0,0.09,1.0
growl-for-windows.csv,0.07,0.0,0.0,0.0,0.31,0.14,0.02,0.7,0.2,0.01,0.43,0.04,0.03,0.25,0.69,0.58,0.01,0.13
mpgravity.csv,0.88,0.84,0.48,0.75,1.0,1.0,0.93,1.0,1.0,0.9,1.0,0.82,0.66,0.86,0.94,0.96,0.81,0.92
myfaces.csv,0.43,0.55,0.65,0.75,0.69,0.97,0.65,0.2,0.2,0.75,0.15,0.82,0.38,0.51,0.14,0.53,0.31,0.45
nativeclient.csv,0.42,0.72,0.87,0.83,0.75,0.69,0.46,0.1,0.45,0.73,0.57,0.68,0.38,0.74,0.28,0.58,0.63,0.42
passwordsafe.csv,0.16,0.86,0.35,0.5,0.83,0.31,0.38,0.1,0.8,0.83,0.47,0.4,0.5,0.65,0.44,0.79,0.29,0.26
phonon-vlc-mplayer.csv,0.5,0.8,0.48,0.33,0.85,0.44,0.62,0.1,0.6,0.59,0.36,0.61,0.28,0.37,0.25,0.58,0.39,0.55
ppcboot.csv,0.99,1.0,0.96,1.0,1.0,1.0,0.58,1.0,1.0,0.98,0.96,0.93,1.0,1.0,0.67,0.98,0.97,1.0
rtrt-on-gpu.csv,0.54,0.36,0.57,0.17,0.6,0.5,0.36,0.6,0.15,0.53,0.57,0.56,0.59,0.54,0.75,0.4,0.63,0.32
sandiaportals.csv,0.47,0.86,0.43,0.25,0.98,0.53,0.61,0.4,0.85,0.73,0.72,0.46,0.41,0.65,0.56,0.79,0.52,0.84
tktoolkit.csv,0.2,0.57,0.52,0.67,0.71,0.5,0.51,0.5,1.0,0.78,0.51,0.35,0.88,0.61,0.39,0.87,0.52,0.39
ultimairis.csv,0.82,0.7,0.91,0.0,0.9,0.78,0.79,0.0,0.25,0.66,0.7,0.88,0.22,0.67,0.5,0.57,0.54,0.87
wikipediardware.csv,0.68,0.9,0.91,0.58,0.96,0.94,0.86,0.6,0.85,0.89,0.81,0.89,0.88,0.77,0.81,0.58,0.9,0.74
