,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.51,0.11,0.0,0.31,0.0,0.0,0.12,0.62,0.48,0.54,0.0,0.19,0.37,0.41,0.61,0.05,0.0
dvd-create.csv,0.81,0.64,0.6,0.0,0.64,0.37,0.05,0.27,0.56,0.45,0.51,0.59,0.54,0.66,0.24,0.56,0.56,0.55
echongl.csv,0.04,0.57,0.39,0.64,0.38,0.17,0.01,0.24,0.12,0.82,0.42,0.21,0.38,0.6,0.37,0.55,0.34,0.13
empserver.csv,0.39,0.49,0.51,0.0,0.44,0.68,0.29,0.34,0.59,0.3,0.42,0.52,0.54,0.63,0.32,0.62,0.62,0.34
gdis.csv,0.66,0.77,0.42,0.0,0.69,0.5,0.57,0.43,0.73,0.71,0.37,0.83,0.49,0.6,0.22,0.68,0.63,0.69
gmerlin.csv,0.61,0.0,0.0,0.0,0.71,0.6,0.52,0.0,0.56,0.07,0.44,0.64,0.66,0.45,0.0,0.38,0.11,0.27
growl-for-windows.csv,0.09,0.0,0.0,0.0,0.35,0.17,0.02,0.62,0.24,0.01,0.47,0.05,0.04,0.29,0.72,0.6,0.01,0.16
mpgravity.csv,0.48,0.77,0.5,0.75,0.0,0.0,0.24,0.0,0.51,0.0,0.0,0.77,0.55,0.54,0.24,0.38,0.65,0.27
myfaces.csv,0.46,0.59,0.62,0.71,0.71,0.52,0.59,0.24,0.24,0.71,0.18,0.79,0.42,0.55,0.17,0.57,0.36,0.5
nativeclient.csv,0.47,0.69,0.46,0.75,0.67,0.66,0.48,0.12,0.48,0.65,0.57,0.68,0.42,0.68,0.31,0.61,0.64,0.47
passwordsafe.csv,0.19,0.84,0.39,0.54,0.59,0.36,0.43,0.12,0.66,0.56,0.51,0.45,0.51,0.67,0.48,0.79,0.33,0.3
phonon-vlc-mplayer.csv,0.53,0.81,0.51,0.38,0.71,0.48,0.6,0.12,0.62,0.5,0.41,0.64,0.32,0.42,0.29,0.63,0.44,0.59
ppcboot.csv,0.38,0.21,0.42,0.0,0.0,0.41,0.6,0.0,0.09,0.0,0.51,0.3,0.13,0.13,0.66,0.38,0.17,0.0
rtrt-on-gpu.csv,0.54,0.37,0.48,0.2,0.6,0.44,0.38,0.63,0.18,0.5,0.52,0.58,0.58,0.52,0.72,0.38,0.55,0.36
sandiaportals.csv,0.48,0.85,0.47,0.29,0.13,0.53,0.62,0.44,0.7,0.52,0.67,0.49,0.44,0.66,0.59,0.8,0.54,0.66
tktoolkit.csv,0.24,0.52,0.57,0.61,0.64,0.53,0.53,0.48,0.33,0.44,0.54,0.37,0.66,0.6,0.42,0.78,0.53,0.38
ultimairis.csv,0.67,0.73,0.05,0.0,0.45,0.61,0.65,0.0,0.29,0.66,0.71,0.74,0.26,0.68,0.55,0.62,0.56,0.72
wikipediardware.csv,0.65,0.58,0.45,0.56,0.46,0.13,0.41,0.57,0.66,0.29,0.31,0.79,0.57,0.54,0.63,0.6,0.54,0.73
