,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.46,0.47,0.58,0.71,0.58,0.55,0.48,0.56,0.63,0.88,0.49,0.47,0.4,0.52,0.46,0.35,0.45,0.63,0.5,0.5
cornerstone.csv,0.57,0.53,0.71,0.84,0.53,0.51,0.48,0.46,0.52,0.79,0.46,0.54,0.49,0.71,0.54,0.47,0.54,0.59,0.54,0.58
emeraldemu.csv,0.47,0.65,0.58,0.71,0.67,0.66,0.56,0.62,0.79,0.68,0.49,0.68,0.44,0.61,0.59,0.52,0.44,0.92,0.71,0.59
grafx2.csv,0.48,0.49,0.49,0.58,0.68,0.7,0.41,0.55,0.7,0.65,0.51,0.46,0.48,0.45,0.53,0.38,0.44,0.5,0.59,0.61
jahshakafx.csv,0.5,0.62,0.98,0.89,0.47,0.96,0.89,0.92,0.74,0.73,0.93,0.75,0.76,0.56,0.59,0.58,0.57,0.83,0.86,0.64
kindb.csv,0.4,0.42,0.47,0.45,0.41,0.47,0.41,0.45,0.46,0.5,0.35,0.49,0.42,0.42,0.35,0.38,0.4,0.41,0.47,0.43
maya-work-in-progress.csv,0.37,0.47,0.42,0.53,0.45,0.41,0.33,0.4,0.46,0.52,0.36,0.72,0.34,0.62,0.34,0.33,0.37,0.39,0.41,0.43
netatalk.csv,0.49,0.52,0.7,0.67,0.64,0.72,0.48,0.61,0.69,0.69,0.5,0.61,0.55,0.47,0.51,0.41,0.52,0.69,0.63,0.52
novembre.csv,0.52,0.53,0.68,0.71,0.57,0.85,0.67,0.63,0.97,0.8,0.71,0.74,0.78,0.59,0.81,0.35,0.47,0.69,0.58,0.63
ns-3.csv,0.45,0.56,0.51,0.6,0.57,0.49,0.41,0.59,0.58,0.63,0.44,0.39,0.41,0.56,0.53,0.4,0.4,0.4,0.5,0.51
nullc.csv,0.83,0.56,0.43,0.55,0.46,0.45,0.36,0.42,0.43,0.55,0.6,0.44,0.37,0.5,0.45,0.42,0.47,0.4,0.61,0.45
open-beos.csv,0.59,0.45,0.5,0.51,0.45,0.64,0.48,0.43,0.59,0.63,0.37,0.45,0.4,0.56,0.4,0.35,0.4,0.46,0.56,0.5
pixel-commandos.csv,0.67,0.99,0.95,0.88,0.0,0.67,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.92,0.0,0.75,0.0
planeshift.csv,0.43,0.47,0.46,0.54,0.4,0.5,0.33,0.38,0.42,0.56,0.36,0.35,0.38,0.33,0.52,0.27,0.38,0.3,0.44,0.45
plee-the-bear.csv,0.92,0.89,0.97,0.0,0.92,0.98,0.83,0.94,0.89,0.9,0.73,0.88,0.58,0.8,0.95,0.52,0.96,0.65,0.94,0.81
reaper-ecad.csv,0.97,1.0,0.8,0.95,0.0,0.76,0.67,0.9,0.97,0.75,0.49,0.0,0.97,0.89,0.69,0.0,0.92,0.67,0.92,0.9
sbml.csv,0.36,0.45,0.46,0.45,0.38,0.41,0.35,0.39,0.41,0.5,0.54,0.37,0.32,0.45,0.38,0.35,0.36,0.38,0.38,0.39
unimrcp.csv,0.53,0.77,0.83,0.95,0.5,0.72,0.6,0.88,0.97,0.88,0.82,0.61,0.57,0.59,0.71,0.43,0.42,0.67,0.71,0.9
unladen-swallow.csv,0.99,1.0,0.85,0.95,0.91,0.79,0.68,0.99,0.99,0.96,0.5,0.76,0.54,0.93,0.56,0.43,0.84,0.63,0.93,0.68
xmoto.csv,0.38,0.47,0.57,0.79,0.5,0.47,0.4,0.46,0.46,0.71,0.35,0.47,0.37,0.61,0.46,0.38,0.37,0.36,0.59,0.54
