,f1,g,recall,precision,pf,wins
botsnscouts.csv,0.67,0.62,0.68,0.73,0.33,17
bzbyte.csv,0.57,0.0,0.77,0.52,0.65,1
chrysalis.csv,0.55,0.6,0.61,0.79,0.28,16
dspace-gsoc.csv,0.7,0.54,0.78,0.7,0.68,8
fbmanager.csv,0.51,0.52,0.48,0.77,0.18,11
fityk.csv,0.65,0.59,0.71,0.65,0.52,10
fleet-simulator.csv,0.72,0.57,0.86,0.68,0.7,12
freenet.csv,0.68,0.49,0.84,0.64,0.81,5
google-caja.csv,0.7,0.65,0.85,0.68,0.62,15
k3b.csv,0.72,0.52,0.81,0.67,0.78,7
mediaportal.csv,0.38,0.31,0.26,0.7,0.1,2
myfaces.csv,0.52,0.52,0.49,0.75,0.24,9
onotoa.csv,0.45,0.37,0.5,0.6,0.76,0
paintown.csv,0.68,0.46,0.77,0.71,0.77,6
poormans.csv,0.42,0.44,0.41,0.68,0.24,4
sqlpower-library.csv,0.71,0.23,0.94,0.64,0.94,3
triplea.csv,0.73,0.6,0.87,0.67,0.7,13
xamj.csv,0.62,0.61,0.7,0.7,0.38,14
