,f1,g,recall,precision,pf,wins
dxengine.csv,0.1,0.1,0.08,0.14,0.16,0
e-bio-flow.csv,0.29,0.47,0.45,0.28,0.23,7
haggle.csv,0.37,0.58,0.59,0.25,0.33,12
hannosset.csv,0.13,0.21,0.18,0.12,0.21,1
jas.csv,0.34,0.62,0.64,0.29,0.42,13
jbpm.csv,0.09,0.09,0.07,0.4,0.02,3
jgossipforum.csv,0.41,0.42,0.38,0.33,0.22,9
joustsim.csv,0.35,0.63,0.79,0.22,0.42,14
log4net.csv,0.2,0.27,0.23,0.22,0.24,4
madman.csv,0.31,0.32,0.29,0.27,0.22,6
ngl.csv,0.36,0.61,0.87,0.23,0.72,11
nunit.csv,0.27,0.48,0.54,0.18,0.6,5
piccolo2d.csv,0.35,0.42,0.38,0.37,0.21,8
sblim.csv,0.33,0.47,0.46,0.29,0.23,10
wsmt.csv,0.19,0.23,0.19,0.18,0.27,2
