,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.62,0.77,0.0,0.0,0.0,0.1,0.09,0.44,0.11,0.54,0.0,0.3,0.0,0.53,0.02
e-bio-flow.csv,0.22,0.51,0.58,0.5,0.85,0.27,0.62,0.0,0.41,0.66,0.47,0.27,0.0,0.17,0.49
haggle.csv,0.67,0.66,0.43,0.42,0.0,0.58,0.5,0.79,0.57,0.76,0.48,0.64,0.0,0.68,0.62
hannosset.csv,0.09,0.21,0.1,0.02,0.0,0.13,0.34,0.0,0.29,0.29,0.81,0.25,0.0,0.39,0.23
jas.csv,0.73,0.63,0.0,0.63,0.6,0.41,0.41,0.83,0.21,0.71,0.2,0.62,0.97,0.65,0.24
jbpm.csv,0.09,0.11,0.0,0.77,0.0,0.13,0.27,0.0,0.11,0.0,0.0,0.02,0.0,0.11,0.1
jgossipforum.csv,0.64,0.61,0.18,0.27,0.0,0.42,0.5,0.98,0.41,0.74,0.0,0.58,0.0,0.38,0.47
joustsim.csv,0.58,0.48,0.35,0.79,0.36,0.63,0.49,0.91,0.83,0.75,0.63,0.69,0.63,0.52,0.68
log4net.csv,0.26,0.17,0.7,0.27,0.97,0.09,0.45,0.0,0.65,0.53,0.57,0.16,0.0,0.13,0.42
madman.csv,0.47,0.54,0.18,0.22,0.0,0.4,0.47,0.24,0.41,0.86,0.2,0.44,0.14,0.32,0.24
ngl.csv,0.35,0.72,0.52,0.63,0.52,0.27,0.62,0.73,0.78,0.65,0.52,0.63,0.61,0.27,0.6
nunit.csv,0.48,0.4,0.55,0.56,0.37,0.49,0.57,0.74,0.21,0.36,0.45,0.46,0.28,0.61,0.69
piccolo2d.csv,0.26,0.59,0.76,0.42,0.7,0.34,0.47,0.0,0.58,0.76,0.36,0.49,0.0,0.32,0.37
sblim.csv,0.6,0.84,0.7,0.47,0.0,0.11,0.58,0.0,0.59,0.52,0.2,0.52,0.0,0.38,0.29
wsmt.csv,0.23,0.37,0.18,0.53,0.37,0.14,0.36,0.0,0.11,0.0,0.0,0.18,0.4,0.78,0.53
