,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,4.0,0.0,94.0,431.0,133.0,1.0,3.0,37.0,5.0,4.0,74.0,0.0,124.0,1.0,7.0
e-bio-flow.csv,2.0,29.0,7.0,11.0,9.0,0.0,1.0,224.0,1.0,23.0,10.0,0.0,124.0,2.0,2.0
haggle.csv,1.0,6.0,10.0,10.0,133.0,0.0,5.0,18.0,4.0,3.0,8.0,0.0,124.0,0.0,0.0
hannosset.csv,3.0,18.0,15.0,50.0,133.0,0.0,1.0,224.0,29.0,3.0,8.0,0.0,124.0,1.0,0.0
jas.csv,3.0,0.0,94.0,1.0,24.0,0.0,7.0,71.0,4.0,14.0,0.0,0.0,0.0,0.0,2.0
jbpm.csv,0.0,2.0,94.0,0.0,133.0,0.0,4.0,224.0,10.0,56.0,74.0,0.0,124.0,2.0,0.0
jgossipforum.csv,0.0,12.0,4.0,4.0,133.0,1.0,1.0,3.0,0.0,5.0,74.0,0.0,124.0,1.0,2.0
joustsim.csv,5.0,15.0,13.0,1.0,32.0,0.0,2.0,32.0,1.0,17.0,2.0,0.0,11.0,0.0,3.0
log4net.csv,1.0,3.0,6.0,7.0,5.0,0.0,5.0,224.0,3.0,5.0,5.0,0.0,124.0,9.0,14.0
madman.csv,1.0,0.0,4.0,13.0,133.0,1.0,1.0,8.0,4.0,5.0,12.0,2.0,15.0,3.0,6.0
ngl.csv,5.0,0.0,25.0,1.0,37.0,0.0,0.0,59.0,0.0,14.0,10.0,0.0,40.0,1.0,0.0
nunit.csv,5.0,0.0,21.0,1.0,20.0,0.0,2.0,60.0,9.0,21.0,23.0,0.0,23.0,0.0,1.0
piccolo2d.csv,0.0,5.0,6.0,13.0,1.0,1.0,2.0,224.0,5.0,3.0,4.0,0.0,124.0,0.0,2.0
sblim.csv,3.0,0.0,1.0,4.0,133.0,0.0,0.0,224.0,0.0,22.0,13.0,0.0,124.0,0.0,18.0
wsmt.csv,7.0,2.0,17.0,1.0,29.0,1.0,1.0,224.0,26.0,56.0,74.0,0.0,51.0,0.0,0.0
