,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.7,0.58,0.64,0.39,0.53,0.48,0.56,0.6,0.72,0.55,0.61,0.83,0.55
avisynth2.csv,0.75,0.67,0.0,0.0,0.0,0.75,0.67,0.5,0.67,0.0,0.0,0.0,0.5
beast-mcmc.csv,0.7,0.52,0.95,0.59,0.88,0.64,0.71,0.37,0.67,0.62,0.96,0.67,0.62
dataobjectsdotnet.csv,0.65,0.62,0.65,0.67,0.92,0.67,0.58,0.57,0.71,0.65,0.98,0.71,0.66
exist.csv,0.52,0.53,0.82,0.42,0.78,0.45,0.56,0.48,0.61,0.53,0.95,0.69,0.66
foursquared.csv,0.97,0.84,0.76,0.85,0.86,0.83,0.62,0.61,0.92,0.76,0.97,0.72,0.6
jaxlib.csv,0.67,0.0,0.75,0.5,0.75,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.92
jrefactory.csv,0.67,0.56,0.64,0.39,0.56,0.62,0.5,0.47,0.77,0.64,0.91,0.62,0.62
nodal.csv,0.95,0.72,0.94,0.39,0.8,0.6,0.83,0.65,0.88,0.94,0.96,0.94,0.94
opendvr.csv,0.51,0.48,0.95,0.4,0.44,0.55,0.48,0.44,0.55,0.52,0.71,0.82,0.56
pokenetonline.csv,0.41,0.42,0.59,0.31,0.42,0.35,0.38,0.4,0.38,0.42,0.44,0.47,0.49
simplewebservices.csv,0.55,0.67,0.77,0.48,0.44,0.69,0.42,0.5,0.59,0.54,0.58,0.68,0.65
uface.csv,0.36,0.47,0.46,0.33,0.32,0.36,0.35,0.31,0.41,0.43,0.0,0.45,0.37
