,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.68,0.41,0.0,0.11,0.11,0.55,0.53,0.81,0.32,0.26
haphazard.csv,0.19,0.12,0.37,0.06,0.08,0.3,0.27,0.55,0.36,0.19
jicarilla.csv,0.06,0.0,0.82,0.0,0.0,0.0,0.05,0.54,0.0,0.0
ondex.csv,0.67,0.29,0.0,0.15,0.15,0.09,0.05,0.04,0.48,0.35
optalgtoolkit.csv,0.34,0.31,0.57,0.08,0.0,0.7,0.39,0.85,0.21,0.25
ossim.csv,0.31,0.26,0.33,0.25,0.0,0.39,0.51,0.75,0.21,0.28
projectts.csv,0.67,0.4,0.05,0.14,0.11,0.46,0.71,0.19,0.26,0.26
sabbu.csv,0.73,0.37,0.19,0.15,0.13,0.29,0.51,0.28,0.23,0.34
vxl.csv,0.48,0.33,0.29,0.16,0.08,0.44,0.53,0.23,0.28,0.22
zact.csv,0.49,0.13,0.63,0.11,0.29,0.0,0.67,0.48,0.17,0.34
