,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.89,0.97,0.59,0.8,0.81,0.58,0.75,0.67,0.75,0.56,0.83,0.72,0.96,0.9,0.71,0.72
bdbbasic.csv,0.45,0.42,0.63,0.39,0.56,0.31,0.72,0.79,0.46,0.3,0.65,0.47,0.46,0.6,0.6,0.42
crux-framework.csv,0.74,0.56,0.94,0.71,0.83,0.61,0.49,0.95,0.68,0.92,0.91,0.85,0.0,0.92,0.93,0.88
echongl.csv,0.51,0.96,0.41,0.45,0.45,0.48,0.75,0.51,0.44,0.37,0.67,0.55,0.52,0.42,0.54,0.62
etherboot.csv,0.0,0.91,0.0,0.0,0.55,0.67,0.0,0.51,0.75,0.0,0.32,0.88,0.51,0.0,0.39,0.41
freebios.csv,0.58,0.95,0.71,0.64,0.7,0.96,0.63,0.83,0.68,0.6,0.46,0.69,0.73,0.99,0.54,0.83
gebr.csv,0.41,0.38,0.39,0.44,0.4,0.49,0.39,0.46,0.4,0.29,0.33,0.46,0.49,0.39,0.42,0.41
glelite.csv,0.39,0.37,0.39,0.45,0.42,0.5,0.43,0.41,0.4,0.3,0.34,0.44,0.51,0.39,0.43,0.41
gnukeda.csv,0.44,0.45,0.52,0.54,0.43,0.42,0.61,0.47,0.68,0.38,0.46,0.45,0.57,0.93,0.42,0.41
google-gears.csv,0.44,0.49,0.47,0.43,0.41,0.5,0.39,0.47,0.4,0.29,0.48,0.47,0.52,0.34,0.48,0.43
gstreamer.csv,0.43,0.41,0.58,0.49,0.44,0.47,0.45,0.49,0.4,0.33,0.39,0.48,0.54,0.42,0.46,0.41
jnode.csv,0.75,0.57,0.92,0.61,0.86,0.89,0.89,0.76,0.8,0.94,0.83,0.97,0.5,0.91,0.83,0.75
metacosm.csv,0.67,0.41,0.41,0.61,0.67,0.44,0.91,0.48,0.88,0.45,0.48,0.53,0.55,0.65,0.48,0.39
openmeetings.csv,0.49,0.56,0.43,0.73,0.43,0.38,0.75,0.51,0.63,0.33,0.52,0.62,0.46,0.57,0.63,0.42
tradelink.csv,0.86,0.45,0.43,0.77,0.52,0.63,0.6,0.49,0.53,0.59,0.72,0.77,0.54,0.39,0.58,0.56
wxcrp.csv,0.49,0.42,0.41,0.46,0.41,0.4,0.38,0.46,0.4,0.3,0.59,0.54,0.5,0.34,0.55,0.44
