,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.55,0.15,0.35,0.19,0.58,1.0,0.16,0.21,0.14,1.0,0.19,0.26
emite.csv,0.23,0.23,0.35,0.33,0.51,0.12,0.55,0.24,0.35,0.25,0.94,0.58
geogebra.csv,0.45,0.5,0.15,0.33,0.41,0.23,0.41,0.24,0.8,0.0,0.71,0.95
hibernate.csv,0.2,0.42,0.25,0.62,0.31,0.13,0.29,0.36,0.91,0.0,0.03,0.44
httpcontentparser.csv,0.31,0.31,0.85,0.38,0.43,0.18,0.16,0.18,0.2,0.25,0.13,0.32
megameknet.csv,0.59,0.69,0.5,0.69,0.45,0.62,0.91,0.67,0.55,0.25,0.16,0.67
myfaces.csv,0.84,1.0,0.8,0.9,0.58,1.0,0.68,0.61,0.83,1.0,0.77,0.83
ns-3.csv,0.98,0.88,0.8,0.75,0.87,0.63,0.83,0.42,0.5,0.5,0.23,0.58
ondex.csv,0.03,0.04,0.05,0.02,0.08,0.03,0.06,0.94,0.21,0.0,0.32,0.23
pixel-commandos.csv,0.09,0.15,0.15,0.23,0.3,0.05,0.23,0.12,0.19,1.0,0.0,0.2
rsyslog.csv,0.3,0.96,0.55,0.62,0.74,0.74,0.62,0.52,0.49,0.75,0.23,0.77
wow-qrsk.csv,0.27,0.23,0.55,0.4,0.93,0.09,0.43,0.79,0.33,0.75,0.19,0.43
