,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.55,0.18,0.38,0.23,0.58,1.0,0.19,0.25,0.17,0.72,0.22,0.3
emite.csv,0.27,0.27,0.39,0.36,0.52,0.14,0.5,0.28,0.39,0.28,0.95,0.6
geogebra.csv,0.46,0.54,0.18,0.37,0.41,0.27,0.46,0.28,0.44,0.0,0.36,0.96
hibernate.csv,0.24,0.46,0.28,0.53,0.36,0.16,0.33,0.39,0.93,0.0,0.04,0.47
httpcontentparser.csv,0.35,0.35,0.87,0.42,0.42,0.21,0.19,0.21,0.24,0.28,0.16,0.34
megameknet.csv,0.56,0.63,0.48,0.67,0.48,0.58,0.92,0.6,0.56,0.29,0.19,0.64
myfaces.csv,0.38,0.41,0.66,0.92,0.44,0.13,0.45,0.58,0.36,0.41,0.09,0.34
ns-3.csv,0.97,0.48,0.73,0.54,0.67,0.61,0.68,0.43,0.51,0.52,0.27,0.59
ondex.csv,0.04,0.05,0.06,0.02,0.1,0.04,0.07,0.95,0.25,0.0,0.35,0.27
pixel-commandos.csv,0.11,0.18,0.18,0.27,0.35,0.06,0.27,0.15,0.23,1.0,0.0,0.24
rsyslog.csv,0.34,0.97,0.59,0.62,0.73,0.7,0.64,0.52,0.53,0.75,0.27,0.73
wow-qrsk.csv,0.31,0.27,0.55,0.45,0.94,0.11,0.48,0.7,0.38,0.75,0.22,0.47
