,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.43,0.0,0.4,0.08,0.41,0.0,0.09,0.2,0.16,0.66,0.15,0.1
emite.csv,0.24,0.0,0.32,0.4,0.42,0.37,0.62,0.18,0.34,0.37,0.0,0.31
geogebra.csv,0.47,0.25,0.07,0.22,0.57,0.18,0.05,0.1,0.84,0.08,0.88,0.01
hibernate.csv,0.21,0.21,0.38,0.66,0.11,0.11,0.17,0.37,0.0,0.07,0.0,0.35
httpcontentparser.csv,0.28,0.33,0.01,0.23,0.6,0.11,0.06,0.07,0.21,0.36,0.18,0.53
megameknet.csv,0.53,0.54,0.57,0.39,0.31,0.53,0.01,0.58,0.41,0.18,0.28,0.46
myfaces.csv,0.88,0.88,0.61,0.01,0.78,0.97,0.81,0.53,0.89,0.88,0.98,0.9
ns-3.csv,0.08,0.83,0.45,0.74,0.65,0.47,0.61,0.52,0.47,0.38,0.28,0.37
ondex.csv,0.03,0.0,0.02,0.03,0.03,0.0,0.01,0.0,0.22,0.04,0.4,0.11
pixel-commandos.csv,0.03,0.0,0.04,0.08,0.04,0.0,0.05,0.06,0.08,0.0,0.0,0.04
rsyslog.csv,0.27,0.0,0.21,0.39,0.29,0.42,0.28,0.48,0.23,0.27,0.18,0.4
wow-qrsk.csv,0.07,0.04,0.46,0.18,0.0,0.0,0.15,0.52,0.15,0.27,0.28,0.29
