,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.53,0.75,0.75,0.97,0.74,0.36,0.97,0.97,0.99,0.45,0.92,0.98
emite.csv,0.87,0.83,0.78,0.7,0.67,0.96,0.65,0.97,0.72,0.71,0.55,0.61
geogebra.csv,0.7,0.68,0.93,0.84,0.63,0.87,0.78,0.96,0.52,0.86,0.46,0.76
hibernate.csv,0.98,0.69,0.88,0.58,0.92,0.94,0.87,0.56,0.76,0.83,0.0,0.69
httpcontentparser.csv,0.84,0.88,0.94,0.84,0.66,0.95,0.96,0.94,0.99,0.79,0.91,0.7
megameknet.csv,0.62,0.55,0.67,0.51,0.61,0.42,0.71,0.43,0.65,0.94,0.94,0.58
myfaces.csv,0.46,0.51,0.55,0.98,0.51,0.29,0.59,0.53,0.49,0.45,0.41,0.44
ns-3.csv,0.48,0.53,0.51,0.47,0.44,0.46,0.57,0.44,0.51,0.51,0.78,0.51
ondex.csv,0.83,0.0,0.8,0.89,0.97,0.67,0.83,0.97,0.99,0.75,0.73,0.98
pixel-commandos.csv,0.94,0.75,0.89,0.97,0.99,0.8,0.96,0.93,0.98,0.75,0.0,0.97
rsyslog.csv,0.67,0.56,0.7,0.6,0.49,0.38,0.52,0.44,0.58,0.57,0.93,0.44
wow-qrsk.csv,0.76,0.86,0.5,0.84,0.84,0.89,0.71,0.48,0.72,0.54,0.76,0.71
