,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.42,0.54,0.27,1.0,0.44,0.52,0.66,0.15,0.45,0.67,0.15,0.62
jaolt.csv,0.43,0.43,0.34,0.05,0.44,0.3,0.45,0.55,0.75,0.29,0.69,0.51
jcl.csv,0.57,0.03,0.37,0.25,0.67,0.47,0.45,0.8,0.29,0.33,0.35,0.44
kmess.csv,0.4,0.4,0.14,0.2,0.44,0.0,0.1,0.32,0.59,0.2,0.27,0.44
ossbuild.csv,0.22,0.34,0.52,0.25,0.44,0.23,0.24,0.15,0.12,0.45,0.23,0.44
qgo.csv,0.8,0.11,0.65,0.25,1.0,0.88,0.76,0.99,0.71,0.53,0.65,0.75
quark.csv,0.01,0.26,0.27,0.08,0.11,0.04,0.1,0.1,0.29,0.22,0.21,0.02
rezilla.csv,0.86,0.31,0.47,0.28,0.78,0.21,0.41,0.87,0.23,0.43,0.13,0.73
rhex.csv,0.26,0.51,0.16,0.02,0.33,0.05,0.79,0.49,0.79,0.18,0.73,0.25
toped.csv,0.49,0.8,0.65,0.95,0.0,0.76,0.69,0.41,0.82,0.73,0.96,0.67
truevision.csv,0.42,0.4,0.48,0.5,0.33,0.67,0.31,0.23,0.88,0.67,0.58,0.56
wxstudio.csv,0.48,0.03,0.24,0.42,0.67,0.31,0.28,0.66,0.01,0.24,0.15,0.38
