,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.69,0.49,0.65,0.36,0.41,0.72,0.47,0.74,0.76,0.74,0.91,0.51
jaolt.csv,0.45,0.37,0.56,0.8,0.31,0.57,0.44,0.32,0.45,0.36,0.41,0.35
jcl.csv,0.56,0.88,0.52,0.71,0.57,0.61,0.45,0.5,0.56,0.59,0.57,0.7
kmess.csv,0.62,0.36,0.96,0.85,0.33,0.5,0.93,0.44,0.62,0.52,0.88,0.47
ossbuild.csv,0.95,0.65,0.52,0.76,0.5,0.99,0.65,0.77,0.95,0.68,0.67,0.53
qgo.csv,0.38,0.43,0.34,0.53,0.29,0.35,0.31,0.37,0.33,0.33,0.34,0.35
quark.csv,0.0,0.52,0.76,0.83,0.6,0.9,0.94,0.94,0.62,0.75,0.59,0.86
rezilla.csv,0.42,0.68,0.53,0.5,0.38,0.66,0.62,0.39,0.64,0.41,0.88,0.38
rhex.csv,0.48,0.36,0.96,0.5,0.5,0.91,0.52,0.34,0.43,0.53,0.49,0.51
toped.csv,0.72,0.48,0.57,0.38,0.39,0.52,0.51,0.87,0.44,0.73,0.35,0.63
truevision.csv,0.55,0.38,0.48,0.51,0.38,0.49,0.45,0.48,0.39,0.58,0.44,0.41
wxstudio.csv,0.65,0.67,0.77,0.7,0.71,0.73,0.66,0.59,0.0,0.47,0.89,0.83
