,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.13,0.46,0.62,0.31,0.9,0.18,0.73,0.65,0.08,0.23,0.27,0.68
jaolt.csv,0.2,0.57,0.51,0.6,0.9,0.04,0.79,0.43,0.1,0.58,0.22,0.67
jcl.csv,0.12,0.88,0.29,0.29,0.8,0.18,0.73,0.3,0.23,0.53,0.14,0.61
kmess.csv,0.14,0.58,0.43,0.38,0.91,0.5,0.8,0.49,0.08,0.57,0.18,0.73
ossbuild.csv,0.1,0.48,0.47,0.41,0.88,0.32,0.77,0.63,0.4,0.41,0.43,0.68
qgo.csv,0.16,0.87,0.31,0.41,0.84,0.08,0.74,0.35,0.13,0.53,0.23,0.65
quark.csv,0.0,0.64,0.34,0.5,0.93,0.2,0.81,0.59,0.25,0.45,0.5,0.86
rezilla.csv,0.1,0.56,0.16,0.54,0.82,0.08,0.65,0.35,0.08,0.59,0.12,0.64
rhex.csv,0.32,0.54,0.35,0.5,0.85,0.09,0.66,0.38,0.12,0.53,0.16,0.69
toped.csv,0.07,0.44,0.39,0.32,1.0,0.15,0.71,0.26,0.12,0.31,0.19,0.61
truevision.csv,0.15,0.59,0.48,0.43,0.93,0.11,0.82,0.62,0.13,0.37,0.27,0.7
wxstudio.csv,0.15,0.67,0.15,0.15,0.65,0.21,0.75,0.27,0.0,0.7,0.11,0.54
