,twostep.csv,fluent-nhibernate.csv,jmule.csv,jython.csv,go.csv,oppna-program-hsatools.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
fluent-nhibernate.csv,0.34,0.51,0.54,0.64,0.63,0.41,0.5,0.42,0.47
go.csv,0.56,0.33,0.68,0.69,0.77,0.77,0.57,0.53,0.42
jmule.csv,0.72,0.32,0.86,0.2,0.76,0.76,0.49,0.58,0.47
jython.csv,0.39,0.16,0.0,0.63,0.27,0.33,0.39,0.43,0.31
magicwars.csv,0.52,0.18,0.66,0.23,0.78,0.9,0.7,0.51,0.4
oppna-program-hsatools.csv,0.52,0.17,0.61,0.18,0.71,0.91,0.34,0.53,0.5
turbotrader-bos.csv,0.57,0.34,0.0,0.59,0.59,0.23,0.42,0.63,0.49
twostep.csv,0.81,0.25,0.68,0.22,0.7,0.8,0.47,0.56,0.52
xmemcached.csv,0.51,0.19,0.63,0.19,0.78,0.91,0.45,0.49,0.65
