,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.75,0.75,0.33,0.79,0.6,0.84,0.53,0.9,0.82,0.07,0.65
biopax.csv,0.7,0.68,0.26,0.75,0.66,0.73,0.53,0.91,0.91,0.05,0.64
crux-framework.csv,0.24,0.4,0.16,0.05,0.54,0.31,0.11,0.18,0.05,0.3,0.17
kml.csv,0.71,0.69,0.26,0.76,0.81,0.76,0.54,0.91,0.88,0.05,0.64
les-indemodables.csv,0.61,0.58,0.31,0.69,0.73,0.63,0.67,0.41,0.56,0.05,0.61
metacosm.csv,0.57,0.54,0.29,0.53,0.58,0.59,0.6,0.5,0.52,0.05,0.75
moviesandbox.csv,0.73,0.59,0.18,0.72,0.26,0.81,0.52,0.86,0.77,0.06,0.62
sigil.csv,0.73,0.63,0.28,0.79,0.43,0.82,0.6,0.91,0.58,0.06,0.67
unflobtactical.csv,0.75,0.66,0.23,0.75,0.24,0.86,0.54,0.87,0.84,0.06,0.57
xtreemfs.csv,0.76,0.69,0.3,0.74,0.7,0.87,0.53,0.9,0.67,0.08,0.63
yale.csv,0.52,0.5,0.32,0.59,0.65,0.59,0.37,0.5,0.6,0.0,0.47
