,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.84,0.74,0.83,0.71,0.54,0.05
ingex.csv,0.85,0.63,0.88,0.62,0.09,0.86
jgnash.csv,0.77,0.04,0.58,0.82,0.9,0.7
mp-rechnungs-und-kundenverwaltung.csv,0.77,0.81,0.9,0.04,0.78,0.92
openefm.csv,0.09,0.55,0.89,0.96,0.69,0.82
yarp0.csv,0.83,0.69,0.0,0.8,0.64,0.8
