,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.1,0.03,0.52,0.34,0.39,0.19,0.07,0.67,0.37,0.0,0.21,0.26,0.0,0.72,0.26,0.11
codeblocks.csv,0.72,0.49,0.42,0.1,0.62,0.59,0.43,0.3,0.59,0.77,0.74,0.76,0.2,0.04,0.26,0.06
grisbi.csv,0.8,0.74,0.74,0.97,0.61,0.73,0.21,0.83,0.8,0.88,0.78,0.75,0.4,0.8,0.84,0.54
libmesh.csv,0.38,0.49,0.39,0.41,0.57,0.46,0.57,0.3,0.37,0.96,0.58,0.45,0.8,1.0,0.87,0.04
mesa3d.csv,0.22,0.41,0.26,0.34,0.01,0.54,0.07,0.68,0.59,0.78,0.53,0.34,0.2,0.68,0.27,0.3
panda3d.csv,0.28,0.41,0.32,0.48,0.51,0.51,0.07,0.18,0.2,0.34,0.45,0.31,0.8,0.64,0.18,0.23
proftp.csv,0.08,0.08,0.48,0.1,0.18,0.22,0.14,0.23,0.15,0.0,0.11,0.21,0.0,0.8,0.05,0.0
qmmp.csv,0.32,0.21,0.58,0.62,0.49,0.35,0.36,0.92,0.96,0.92,0.66,0.39,0.4,0.56,0.19,0.75
red5.csv,0.88,0.87,0.52,0.34,0.88,0.73,1.0,0.59,0.78,1.0,0.96,0.93,0.4,0.8,0.81,0.98
soar.csv,0.9,1.0,0.87,0.9,1.0,1.0,1.0,0.93,1.0,0.99,0.98,1.0,0.8,0.28,1.0,1.0
super-tux.csv,0.57,0.87,0.42,0.38,0.7,0.78,1.0,0.55,0.52,0.95,0.73,0.74,0.0,0.16,0.56,0.86
t-2.csv,0.45,0.82,0.19,0.1,0.82,0.16,1.0,0.19,0.17,1.0,0.7,0.64,0.8,0.8,0.61,0.3
tart.csv,0.15,0.13,0.65,0.52,0.49,0.86,0.57,0.52,0.72,0.95,0.27,0.21,0.2,0.88,0.5,0.02
tcvp.csv,0.05,0.1,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.2,0.17,0.05,0.0,0.0,0.0,0.01
utgb.csv,0.25,0.26,0.19,0.17,0.31,0.49,0.07,0.06,0.35,0.41,0.47,0.26,0.2,0.6,0.16,0.37
xbrlapi.csv,0.38,0.03,0.71,0.72,0.24,0.11,0.07,0.34,0.37,0.0,0.22,0.27,0.2,0.84,0.1,0.0
