,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.16,0.15,0.17,0.14,0.41,0.21,0.19,0.17,0.14,0.28,0.31,0.19,0.18,0.19,0.25,0.16,0.44,0.18
atlc.csv,0.39,0.21,0.31,0.32,0.27,0.4,0.27,0.26,0.39,0.31,0.39,0.3,0.34,0.33,0.25,0.25,0.28,0.35
ipfilter.csv,0.39,0.32,0.35,0.32,0.39,0.36,0.27,0.25,0.39,0.28,0.37,0.36,0.38,0.36,0.29,0.38,0.38,0.35
liferea.csv,0.31,0.17,0.22,0.18,0.2,0.38,0.22,0.15,0.2,0.24,0.24,0.2,0.27,0.17,0.17,0.29,0.18,0.16
miranda-icq.csv,0.37,0.28,0.29,0.32,0.41,0.38,0.19,0.39,0.28,0.21,0.2,0.25,0.33,0.25,0.22,0.25,0.42,0.25
opensim4opencog.csv,0.16,0.17,0.17,0.18,0.1,0.17,0.21,0.15,0.12,0.23,0.17,0.17,0.18,0.17,0.15,0.17,0.17,0.14
pclasses.csv,0.22,0.21,0.36,0.32,0.41,0.38,0.3,0.22,0.39,0.29,0.39,0.39,0.17,0.28,0.34,0.25,0.45,0.35
pfaedit.csv,0.28,0.17,0.2,0.16,0.41,0.15,0.21,0.12,0.38,0.21,0.34,0.38,0.17,0.14,0.31,0.17,0.41,0.12
psrchive.csv,0.19,0.19,0.19,0.26,0.39,0.25,0.24,0.34,0.39,0.25,0.36,0.37,0.28,0.22,0.26,0.16,0.38,0.2
rockbox.csv,0.12,0.25,0.17,0.18,0.41,0.15,0.19,0.15,0.14,0.2,0.26,0.18,0.15,0.15,0.28,0.17,0.13,0.18
theresa.csv,0.16,0.21,0.15,0.18,0.21,0.15,0.22,0.13,0.33,0.24,0.23,0.18,0.22,0.17,0.2,0.17,0.2,0.12
thrust.csv,0.37,0.35,0.37,0.33,0.41,0.42,0.26,0.31,0.28,0.32,0.4,0.39,0.36,0.35,0.35,0.34,0.45,0.29
tktoolkit.csv,0.21,0.31,0.25,0.21,0.33,0.23,0.24,0.28,0.28,0.23,0.19,0.31,0.24,0.28,0.34,0.25,0.34,0.37
trinitycore.csv,0.21,0.15,0.18,0.33,0.39,0.26,0.3,0.16,0.17,0.25,0.34,0.34,0.21,0.16,0.35,0.21,0.44,0.37
tzod.csv,0.25,0.19,0.26,0.21,0.2,0.36,0.3,0.32,0.19,0.21,0.34,0.21,0.19,0.17,0.25,0.22,0.26,0.43
yaprm.csv,0.34,0.24,0.22,0.28,0.4,0.26,0.17,0.16,0.31,0.24,0.15,0.36,0.37,0.28,0.17,0.24,0.14,0.35
zemljanka.csv,0.37,0.25,0.34,0.26,0.39,0.34,0.28,0.39,0.36,0.31,0.35,0.29,0.27,0.4,0.29,0.41,0.34,0.33
