,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.3,0.37,0.39,0.33,0.0,0.11,0.59,0.2,0.3,0.6,0.19,0.38,0.47,0.58,0.76,0.41,0.05,0.36
atlc.csv,0.24,0.33,0.25,0.38,0.82,0.1,0.45,0.23,0.44,0.49,0.23,0.46,0.84,0.39,0.74,0.37,0.6,0.55
ipfilter.csv,0.22,0.47,0.31,0.32,0.38,0.13,0.73,0.26,0.41,0.48,0.22,0.41,0.86,0.34,0.93,0.37,0.72,0.46
liferea.csv,0.37,0.6,0.35,0.61,0.56,0.11,0.6,0.32,0.14,0.54,0.17,0.45,0.8,0.26,0.65,0.4,0.59,0.44
miranda-icq.csv,0.26,0.39,0.38,0.38,0.74,0.11,0.27,0.2,0.34,0.55,0.16,0.55,0.87,0.34,0.63,0.38,0.11,0.59
opensim4opencog.csv,0.31,0.55,0.34,0.48,0.44,0.18,0.79,0.32,0.25,0.64,0.26,0.41,0.69,0.35,0.61,0.42,0.64,0.62
pclasses.csv,0.62,0.46,0.22,0.12,0.0,0.0,0.03,0.27,0.0,0.13,0.08,0.0,0.39,0.26,0.04,0.36,0.02,0.52
pfaedit.csv,0.0,0.54,0.36,0.31,0.0,0.25,0.84,0.21,0.11,0.63,0.25,0.0,0.53,0.25,0.12,0.42,0.1,0.4
psrchive.csv,0.2,0.45,0.56,0.29,0.66,0.09,0.4,0.19,0.0,0.56,0.2,0.41,0.78,0.3,0.63,0.34,0.74,0.25
rockbox.csv,0.2,0.55,0.42,0.37,0.0,0.23,0.55,0.11,0.25,0.53,0.18,0.31,0.34,0.26,0.15,0.34,0.33,0.67
theresa.csv,0.07,0.61,0.28,0.43,0.6,0.3,0.73,0.21,0.0,0.57,0.23,0.31,0.76,0.37,0.52,0.38,0.68,0.52
thrust.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.16,0.51,0.09,0.0,0.0,0.12,0.25,0.2,0.16,0.0,0.08
tktoolkit.csv,0.21,0.49,0.29,0.35,0.21,0.0,0.74,0.22,0.42,0.45,0.35,0.32,0.62,0.38,0.65,0.25,0.84,0.56
trinitycore.csv,0.36,0.43,0.4,0.0,0.05,0.19,0.03,0.24,0.22,0.62,0.21,0.24,0.62,0.09,0.04,0.49,0.05,0.26
tzod.csv,0.3,0.63,0.26,0.59,0.53,0.09,0.07,0.1,0.23,0.48,0.11,0.38,0.48,0.15,0.58,0.26,0.61,0.08
yaprm.csv,0.25,0.46,0.2,0.12,0.13,0.0,0.62,0.14,0.31,0.66,0.24,0.13,0.85,0.29,0.34,0.29,0.45,0.31
zemljanka.csv,0.32,0.57,0.28,0.33,0.71,0.17,0.72,0.22,0.37,0.67,0.19,0.33,0.79,0.29,0.62,0.42,0.86,0.47
