,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.25,0.5,0.35,0.36,0.0,0.06,0.81,0.16,0.4,0.52,0.2,0.34,1.0,0.49,0.86,0.37,1.0,0.43
atlc.csv,0.15,0.36,0.17,0.24,0.85,0.06,0.51,0.14,0.28,0.44,0.13,0.34,0.99,0.25,0.86,0.27,0.98,0.41
ipfilter.csv,0.13,0.39,0.19,0.2,0.42,0.07,0.63,0.16,0.26,0.5,0.13,0.29,0.99,0.21,0.98,0.25,0.95,0.38
liferea.csv,0.23,0.55,0.23,0.5,0.78,0.06,0.65,0.22,0.11,0.51,0.1,0.36,1.0,0.2,0.81,0.28,0.97,0.54
miranda-icq.csv,0.16,0.33,0.24,0.24,0.59,0.06,0.48,0.12,0.23,0.54,0.13,0.45,0.99,0.23,0.85,0.27,0.86,0.55
opensim4opencog.csv,0.24,0.47,0.23,0.34,0.92,0.1,0.7,0.21,0.27,0.53,0.16,0.32,1.0,0.25,0.77,0.33,0.98,0.6
pclasses.csv,0.48,0.41,0.5,0.25,0.0,0.0,0.17,0.18,0.0,0.33,0.33,0.0,1.0,0.19,0.14,0.3,1.0,0.38
pfaedit.csv,0.0,0.56,0.24,0.31,0.0,0.15,0.86,0.2,1.0,0.58,0.44,0.0,1.0,0.28,1.0,0.36,0.85,0.55
psrchive.csv,0.16,0.5,0.41,0.2,0.57,0.05,0.51,0.12,0.0,0.54,0.12,0.27,1.0,0.24,0.68,0.35,0.96,0.31
rockbox.csv,0.22,0.4,0.33,0.32,0.0,0.13,0.65,0.09,0.27,0.54,0.19,0.26,1.0,0.22,0.5,0.31,0.95,0.58
theresa.csv,0.06,0.48,0.21,0.4,0.72,0.18,0.71,0.18,0.0,0.53,0.14,0.25,1.0,0.29,0.62,0.33,0.98,0.67
thrust.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.13,0.42,0.22,0.0,0.0,1.0,0.2,1.0,0.29,0.0,0.14
tktoolkit.csv,0.15,0.36,0.2,0.26,0.71,0.0,0.68,0.13,0.31,0.47,0.25,0.23,0.99,0.26,0.65,0.2,0.95,0.4
trinitycore.csv,0.25,0.5,0.31,0.0,1.0,0.1,0.25,0.19,0.2,0.53,0.27,0.5,1.0,0.09,0.5,0.39,1.0,0.75
tzod.csv,0.23,0.6,0.18,0.42,0.74,0.05,0.5,0.08,0.22,0.55,0.1,0.35,1.0,0.14,0.7,0.24,0.97,0.17
yaprm.csv,0.16,0.41,0.14,0.25,0.5,0.0,0.87,0.11,0.25,0.64,0.17,0.4,0.99,0.21,0.77,0.24,1.0,0.27
zemljanka.csv,0.19,0.47,0.17,0.21,0.6,0.09,0.61,0.13,0.27,0.52,0.11,0.22,1.0,0.18,0.64,0.27,1.0,0.36
