,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.06,0.0,0.54,0.25,0.74,0.45,0.27,0.4,0.35,0.0,0.63,0.22,0.24,0.19,0.26,0.0,0.43,0.31
codeblocks.csv,0.53,0.7,0.52,0.54,0.64,0.66,0.7,0.51,0.59,0.29,0.65,0.53,0.78,0.47,0.61,0.48,0.62,0.28
grisbi.csv,0.58,0.54,0.34,0.0,0.32,0.53,0.85,0.39,0.44,0.46,0.62,0.56,0.54,0.44,0.58,0.33,0.63,0.64
libmesh.csv,0.49,0.41,0.41,0.22,0.46,0.04,0.23,0.61,0.65,0.05,0.54,0.46,0.42,0.57,0.51,0.07,0.16,0.32
mesa3d.csv,0.37,0.61,0.56,0.65,0.17,0.71,0.46,0.62,0.48,0.46,0.76,0.46,0.65,0.42,0.58,0.65,0.62,0.26
panda3d.csv,0.15,0.37,0.52,0.51,0.12,0.57,0.6,0.0,0.35,0.69,0.42,0.55,0.0,0.67,0.57,0.22,0.34,0.29
proftp.csv,0.17,0.38,0.45,0.11,0.23,0.75,0.35,0.18,0.18,0.0,0.24,0.27,0.18,0.54,0.06,0.04,0.46,0.02
qmmp.csv,0.51,0.46,0.5,0.5,0.57,0.39,0.63,0.5,0.54,0.39,0.57,0.51,0.62,0.45,0.67,0.47,0.48,0.33
red5.csv,0.34,0.41,0.67,0.66,0.39,0.6,0.23,0.67,0.74,0.05,0.0,0.39,0.75,0.42,0.63,0.05,0.44,0.43
skia.csv,0.48,0.42,0.52,0.09,0.58,0.65,0.34,0.58,0.32,0.26,0.43,0.46,0.17,0.42,0.38,0.15,0.51,0.57
soar.csv,0.58,0.48,0.41,0.45,0.53,0.5,0.37,0.22,0.49,0.26,0.4,0.54,0.36,0.58,0.39,0.23,0.47,0.61
super-tux.csv,0.44,0.45,0.6,0.65,0.55,0.54,0.0,0.73,0.65,0.13,0.62,0.53,0.93,0.12,0.64,0.34,0.33,0.41
t-2.csv,0.42,0.53,0.47,0.25,0.6,0.12,0.0,0.67,0.64,0.0,0.68,0.34,0.7,0.48,0.56,0.19,0.4,0.37
tart.csv,0.38,0.19,0.53,0.52,0.59,0.53,0.52,0.42,0.57,0.17,0.95,0.29,0.43,0.37,0.54,0.19,0.49,0.38
tcvp.csv,0.06,0.16,0.0,0.06,0.0,0.0,0.02,0.05,0.0,0.78,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0
tencompetence.csv,0.4,0.12,0.3,0.19,0.36,0.09,0.07,0.37,0.54,0.0,0.0,0.46,0.46,0.64,0.33,0.47,0.3,0.8
utgb.csv,0.24,0.55,0.62,0.09,0.47,0.76,0.47,0.09,0.18,0.37,0.75,0.55,0.49,0.53,0.29,0.46,0.56,0.31
xbrlapi.csv,0.63,0.1,0.23,0.44,0.59,0.48,0.75,0.49,0.38,0.0,0.62,0.47,0.04,0.17,0.2,0.0,0.26,0.37
