,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.1,0.03,0.32,0.14,0.45,0.14,0.0,0.6,0.22,0.0,0.22,0.21,0.0,0.2,0.21,0.0,0.26,0.43
codeblocks.csv,0.75,0.46,0.35,0.31,0.6,0.68,0.64,0.44,0.76,0.92,0.73,0.76,0.2,0.8,0.31,0.4,0.63,0.41
grisbi.csv,0.55,0.67,0.9,1.0,0.91,0.81,0.21,0.8,0.8,0.41,0.67,0.79,0.8,0.84,0.71,0.91,0.65,0.73
libmesh.csv,0.45,0.46,0.32,0.17,0.59,0.35,0.93,0.37,0.33,0.99,0.62,0.65,0.8,0.48,0.66,0.1,0.28,0.37
mesa3d.csv,0.3,0.54,0.35,0.41,0.08,0.54,0.0,0.69,0.59,0.8,0.61,0.41,0.2,0.8,0.34,0.32,0.46,0.37
panda3d.csv,0.12,0.28,0.45,0.66,0.22,0.41,0.0,0.05,0.26,0.23,0.47,0.31,1.0,0.6,0.45,0.16,0.22,0.45
proftp.csv,0.1,0.21,0.42,0.07,0.11,0.3,0.07,0.14,0.28,0.05,0.2,0.19,0.2,0.72,0.02,0.0,0.33,0.1
qmmp.csv,0.35,0.21,0.55,0.59,0.57,0.51,0.5,0.76,0.67,0.88,0.54,0.36,0.6,0.64,0.21,0.75,0.52,0.86
red5.csv,0.9,0.87,0.55,0.28,0.86,0.7,0.93,0.55,0.54,0.99,1.0,0.87,0.6,0.84,0.55,0.99,0.85,0.7
skia.csv,0.5,0.21,0.29,0.07,0.38,0.24,0.0,0.64,0.65,0.16,0.34,0.25,0.0,0.36,0.4,0.03,0.28,0.49
soar.csv,0.48,0.64,0.52,0.76,0.59,0.59,0.79,0.56,0.65,0.18,0.6,0.64,0.8,0.24,0.85,0.94,0.57,0.6
super-tux.csv,0.6,0.85,0.48,0.48,0.71,0.81,1.0,0.54,0.59,0.97,0.75,0.77,0.0,0.16,0.6,0.9,0.91,0.52
t-2.csv,0.45,0.79,0.23,0.14,0.68,0.24,1.0,0.19,0.24,1.0,0.7,0.58,0.6,0.8,0.48,0.22,0.57,0.61
tart.csv,0.12,0.21,0.58,0.66,0.32,0.81,0.79,0.49,0.61,0.96,0.22,0.2,0.4,0.8,0.71,0.15,0.48,0.59
tcvp.csv,0.05,0.1,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.23,0.1,0.04,0.0,0.0,0.0,0.0,0.26,0.09
tencompetence.csv,0.22,0.15,0.23,0.28,0.4,0.27,0.07,0.74,0.78,0.0,0.34,0.43,0.6,0.48,0.34,0.45,0.3,0.24
utgb.csv,0.3,0.38,0.29,0.07,0.3,0.49,0.07,0.08,0.37,0.34,0.39,0.3,0.0,0.6,0.23,0.34,0.57,0.36
xbrlapi.csv,0.4,0.03,0.94,0.83,0.34,0.11,0.07,0.49,0.46,0.0,0.28,0.33,0.2,0.96,0.06,0.02,0.17,0.39
