,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,4.0,154.0,0.0,0.0,0.0,1.0,0.0,92.0,0.0,82.0,0.0,6.0,0.0,0.0,0.0,322.0,2.0,0.0
codeblocks.csv,2.0,0.0,0.0,1.0,0.0,3.0,1.0,127.0,0.0,13.0,4.0,3.0,0.0,0.0,4.0,4.0,4.0,0.0
grisbi.csv,1.0,5.0,2.0,0.0,4.0,1.0,1.0,85.0,0.0,3.0,8.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0
libmesh.csv,0.0,1.0,1.0,0.0,0.0,1.0,0.0,54.0,0.0,19.0,11.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0
mesa3d.csv,1.0,0.0,0.0,0.0,5.0,0.0,0.0,75.0,0.0,27.0,4.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0
panda3d.csv,1.0,0.0,1.0,0.0,17.0,4.0,0.0,818.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0
proftp.csv,0.0,1.0,0.0,0.0,2.0,0.0,0.0,63.0,3.0,82.0,14.0,6.0,0.0,0.0,1.0,0.0,3.0,1.0
qmmp.csv,0.0,0.0,1.0,0.0,1.0,4.0,1.0,77.0,0.0,14.0,18.0,3.0,0.0,1.0,0.0,4.0,3.0,0.0
red5.csv,0.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,18.0,12.0,3.0,0.0,0.0,3.0,2.0,4.0,1.0
skia.csv,3.0,0.0,0.0,2.0,10.0,0.0,0.0,89.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0
soar.csv,0.0,5.0,2.0,0.0,2.0,2.0,0.0,124.0,0.0,11.0,11.0,4.0,0.0,0.0,2.0,2.0,6.0,0.0
super-tux.csv,1.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,18.0,9.0,3.0,0.0,1.0,2.0,2.0,6.0,0.0
t-2.csv,0.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,19.0,10.0,3.0,0.0,0.0,12.0,9.0,3.0,0.0
tart.csv,0.0,0.0,2.0,0.0,0.0,2.0,0.0,89.0,0.0,19.0,0.0,2.0,0.0,3.0,1.0,5.0,3.0,0.0
tcvp.csv,1.0,0.0,65.0,0.0,100.0,66.0,0.0,1.0,71.0,2.0,93.0,154.0,0.0,55.0,124.0,322.0,11.0,257.0
tencompetence.csv,0.0,1.0,2.0,0.0,8.0,1.0,1.0,88.0,0.0,82.0,93.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
utgb.csv,0.0,0.0,0.0,1.0,0.0,3.0,0.0,30.0,0.0,12.0,3.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0
xbrlapi.csv,0.0,0.0,2.0,0.0,2.0,0.0,0.0,98.0,3.0,82.0,3.0,0.0,0.0,1.0,1.0,322.0,0.0,0.0
