,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.38,0.37,0.42,0.0,0.5,0.38,0.39,0.0,0.33,0.34,0.38,0.44,0.42
fido.csv,0.86,0.38,0.67,0.0,0.0,0.94,0.57,0.97,0.75,0.83,0.0,0.92,0.42
fleet-simulator.csv,0.33,0.38,0.38,0.41,0.64,0.33,0.34,0.34,0.32,0.29,0.47,0.51,0.42
fluent-nhibernate.csv,0.83,0.56,0.45,0.48,0.95,0.61,0.4,0.45,0.67,0.67,0.78,0.61,0.62
galaxium.csv,0.4,0.6,0.54,0.46,0.61,0.74,0.42,0.37,0.37,0.31,0.51,0.46,0.43
itext.csv,0.36,0.36,0.36,0.33,0.55,0.31,0.35,0.33,0.33,0.34,0.39,0.48,0.42
mecat.csv,0.82,0.95,0.0,0.5,0.98,0.0,0.67,0.93,0.89,0.0,0.89,0.92,0.5
mediaportal.csv,0.56,0.86,0.94,0.8,0.52,0.0,0.89,0.55,0.88,0.89,0.83,0.63,0.69
ninject.csv,0.47,0.51,0.46,0.38,0.31,0.69,0.61,0.58,0.63,0.84,0.67,0.47,0.67
smartgwt.csv,0.71,0.42,0.58,0.93,0.34,0.31,0.37,0.53,0.67,0.92,0.39,0.46,0.42
sqlpower-library.csv,0.39,0.38,0.34,0.42,0.77,0.32,0.37,0.37,0.31,0.31,0.44,0.49,0.57
stuproa-cims.csv,0.5,0.79,0.91,0.86,0.61,0.0,0.0,0.72,0.69,0.0,0.5,0.79,0.46
uface.csv,0.35,0.4,0.4,0.43,0.43,0.32,0.33,0.33,0.33,0.5,0.39,0.43,0.37
