,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.68,0.96,0.56,1.0,0.98,0.7,0.41,1.0,0.92,1.0,1.0,0.87,1.0
fido.csv,0.9,0.89,1.0,1.0,0.99,0.13,0.71,0.94,1.03,0.78,1.0,0.77,0.73
fleet-simulator.csv,0.54,0.82,0.58,0.83,0.52,0.93,0.76,0.85,0.95,0.04,0.92,0.53,0.56
fluent-nhibernate.csv,0.87,0.76,0.43,0.58,0.82,0.57,0.59,0.55,0.72,0.94,0.61,0.21,0.67
galaxium.csv,0.46,0.64,0.3,0.47,0.41,0.56,0.58,0.64,0.76,0.17,0.67,0.41,0.6
itext.csv,0.79,0.93,0.9,0.36,1.0,0.99,1.0,0.71,0.97,1.0,0.93,0.9,0.96
mecat.csv,0.78,0.86,1.0,0.94,0.68,1.0,0.95,0.95,0.1,1.0,1.01,0.77,1.0
mediaportal.csv,0.66,0.89,0.66,0.88,0.55,1.0,0.84,0.48,0.35,0.83,0.81,0.41,0.7
ninject.csv,0.81,0.71,0.77,0.47,0.41,0.79,0.62,0.66,0.73,1.28,0.18,0.66,0.67
smartgwt.csv,0.72,0.72,0.71,0.92,0.37,0.81,0.74,0.61,1.06,1.26,0.89,0.96,0.48
sqlpower-library.csv,0.41,0.8,0.89,1.0,0.91,0.93,0.85,1.0,0.8,0.28,0.82,0.37,0.55
stuproa-cims.csv,0.74,0.45,0.77,0.82,0.38,1.0,1.0,0.68,0.71,0.98,0.72,0.44,0.55
uface.csv,0.56,0.68,0.54,0.69,0.62,0.84,0.78,0.79,0.72,0.63,0.71,0.88,0.08
