,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.16,0.51,0.58,0.83,0.24,0.4,0.68,0.29,0.72,0.14,0.0,0.1,0.68,0.2,0.62,0.35,0.29,0.25,0.47
dspace-gsoc.csv,0.21,0.54,0.4,0.21,0.36,0.3,0.54,0.59,0.89,0.9,0.15,0.12,0.78,0.42,0.59,0.36,0.29,0.45,0.57
grisbi.csv,0.16,0.51,0.38,0.9,0.41,0.45,0.93,0.39,0.86,0.9,0.19,0.14,0.78,0.56,0.92,0.42,0.13,0.7,0.54
maidsafe-dht.csv,0.33,0.29,0.12,0.24,0.46,0.35,0.49,0.36,0.67,0.9,0.0,0.1,0.64,0.64,0.42,0.32,0.33,0.27,0.61
mesa3d.csv,0.15,0.36,0.42,0.59,0.28,0.41,0.64,0.47,0.73,0.58,0.21,0.1,0.51,0.24,0.8,0.4,0.0,0.33,0.44
n2cms.csv,0.23,0.71,0.41,0.52,0.41,0.32,0.7,0.45,0.48,0.89,0.11,0.12,0.63,0.54,0.61,0.33,0.27,0.7,0.46
nassp.csv,0.0,0.31,0.33,0.02,0.29,0.3,0.46,0.62,0.33,0.52,0.0,0.07,0.15,0.37,0.46,0.34,0.18,0.38,0.36
ninject.csv,0.11,0.4,0.24,0.35,0.25,0.46,0.27,0.17,0.45,0.44,0.0,0.04,0.52,0.27,0.51,0.32,0.5,0.55,0.57
nug.csv,0.02,0.41,0.29,0.36,0.15,0.65,0.16,0.34,0.64,0.14,0.21,0.06,0.46,0.09,0.47,0.26,0.08,0.47,0.0
nuttx.csv,0.05,0.15,0.34,0.79,0.22,0.3,0.53,0.35,0.2,0.32,0.22,0.13,0.15,0.34,0.55,0.24,0.0,0.57,0.41
oorexx.csv,0.15,0.33,0.39,0.44,0.39,0.33,0.63,0.54,0.44,0.75,0.19,0.19,0.3,0.46,0.58,0.38,0.22,0.68,0.5
oppna-program-hsatools.csv,0.16,0.54,0.38,0.8,0.32,0.47,0.95,0.33,0.91,0.91,0.0,0.13,0.78,0.57,0.81,0.35,0.15,0.74,0.55
redshell.csv,0.13,0.26,0.29,0.9,0.26,0.39,0.84,0.17,0.71,0.35,0.13,0.08,0.05,0.5,0.8,0.25,0.13,0.46,0.46
super-tux.csv,0.22,0.35,0.25,0.77,0.39,0.47,0.72,0.4,0.47,0.68,0.2,0.11,0.76,0.52,0.96,0.34,0.0,0.52,0.54
tart.csv,0.0,0.27,0.38,0.14,0.41,0.29,0.64,0.43,0.7,0.92,0.21,0.32,0.59,0.43,0.59,0.12,0.21,0.54,0.25
tcvp.csv,0.0,0.17,0.0,0.01,0.12,0.0,0.0,0.0,0.14,0.03,0.52,0.0,0.0,0.07,0.04,0.05,0.25,0.0,0.0
vdsf.csv,0.24,0.56,0.34,0.74,0.3,0.34,0.94,0.29,0.86,0.9,0.18,0.13,0.76,0.56,0.9,0.32,0.15,0.7,0.56
web-cat.csv,0.16,0.5,0.44,0.45,0.37,0.37,0.84,0.35,0.85,0.91,0.2,0.16,0.7,0.56,0.88,0.33,0.17,0.68,0.56
zabbix.csv,0.24,0.57,0.39,0.4,0.37,0.31,0.69,0.52,0.74,0.74,0.13,0.18,0.61,0.56,0.71,0.33,0.15,0.59,0.5
