,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.51,0.58,0.41,0.61,0.8,0.9,0.37,0.93,0.34,0.6,0.55,0.67,0.58,0.73,0.45,0.04,0.64,0.5,0.5
bzbyte.csv,0.86,1.0,1.0,0.73,0.87,1.0,0.75,1.0,1.0,1.0,0.92,0.36,1.0,1.0,1.0,1.0,0.99,0.22,1.0
chrysalis.csv,0.58,0.55,0.68,0.59,0.48,0.71,0.46,0.49,0.83,0.59,0.71,0.72,0.57,0.52,0.58,0.63,0.26,0.16,0.55
dspace-gsoc.csv,0.51,0.83,0.51,0.7,0.9,0.88,0.61,0.79,0.95,0.66,0.4,0.82,0.72,0.71,0.78,0.13,0.75,1.01,0.97
fbmanager.csv,0.53,0.65,0.37,0.46,0.82,0.85,0.5,0.5,0.44,0.73,0.72,0.52,1.0,0.55,0.41,0.74,0.64,0.29,0.57
fityk.csv,0.56,0.82,0.54,0.64,0.59,0.7,0.48,0.53,0.76,0.58,0.76,0.87,0.86,0.45,0.88,0.8,0.64,1.0,0.46
fleet-simulator.csv,0.75,0.87,0.85,0.66,0.79,0.82,1.0,0.73,0.51,1.0,0.65,0.58,0.83,0.76,0.62,0.04,0.61,1.03,0.69
freenet.csv,0.72,1.01,0.83,0.68,0.5,0.81,0.96,0.78,0.97,0.78,0.83,0.74,0.95,0.88,0.67,1.13,0.89,1.0,0.86
google-caja.csv,0.42,0.75,0.48,0.43,0.8,0.88,0.71,0.33,0.84,0.53,0.8,1.0,0.64,0.63,0.48,0.19,0.51,1.0,0.96
k3b.csv,0.57,0.58,0.75,0.79,0.78,0.88,0.58,0.81,0.89,0.43,0.81,0.95,0.64,0.81,0.9,1.02,0.99,1.01,0.88
mediaportal.csv,0.82,0.74,0.94,0.55,0.71,0.84,0.75,0.68,0.61,0.86,0.79,0.82,0.52,0.96,0.63,0.63,0.96,0.74,0.72
myfaces.csv,0.53,0.58,0.74,0.54,0.59,0.65,0.62,0.74,0.35,0.64,0.69,0.64,0.58,0.63,0.57,0.3,0.93,0.53,0.51
onotoa.csv,1.0,0.72,0.89,1.0,0.74,0.6,0.92,0.86,1.0,0.94,0.86,0.86,0.85,0.86,0.93,1.1,0.76,1.12,0.93
paintown.csv,0.38,0.64,0.75,0.94,0.66,0.87,1.02,1.01,0.94,0.58,0.55,0.64,0.66,0.55,0.86,1.01,0.91,1.13,0.97
poormans.csv,0.8,0.66,0.88,0.61,0.52,0.83,0.43,0.68,0.47,0.7,0.69,0.81,0.81,0.85,0.33,0.96,0.74,0.47,0.7
sqlpower-library.csv,1.0,0.97,1.0,0.48,0.88,0.83,1.0,0.7,0.76,1.0,1.0,0.96,1.0,1.0,0.82,0.39,0.7,1.0,0.73
triplea.csv,0.53,0.32,0.54,0.73,0.91,0.78,0.71,0.68,0.97,0.56,0.76,0.82,0.72,0.56,0.9,0.04,0.49,1.01,0.79
xamj.csv,0.52,0.68,0.66,0.57,0.87,0.79,0.6,0.86,0.39,0.5,0.64,0.69,0.77,0.5,0.47,0.59,0.6,0.71,0.39
