,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.56,0.53,0.71,0.83,0.87,0.8,0.7,0.94,0.73,0.53,0.64,0.72,0.68,0.32,0.62,0.96,0.37,0.5,0.68
bzbyte.csv,0.19,0.0,1.0,0.65,0.13,1.0,0.67,0.0,0.0,1.0,0.78,0.77,0.0,0.95,1.0,0.96,1.0,0.78,0.0
chrysalis.csv,0.44,0.72,0.32,0.74,0.61,0.39,0.56,0.64,0.96,0.47,0.39,0.33,0.62,0.5,0.82,0.37,0.85,0.84,0.63
dspace-gsoc.csv,0.74,0.81,0.53,0.54,0.84,0.91,0.85,0.72,0.94,0.78,0.69,0.74,0.77,0.8,0.71,0.87,0.63,0.86,0.91
fbmanager.csv,0.49,0.38,0.71,0.61,0.19,0.27,0.56,0.53,0.6,0.29,0.42,0.53,0.0,0.48,0.71,0.26,0.37,0.71,0.44
fityk.csv,0.63,0.84,0.59,0.74,0.71,0.68,0.74,0.62,0.92,0.55,0.5,0.75,0.9,0.73,1.0,0.2,0.37,0.93,0.7
fleet-simulator.csv,0.76,0.88,0.65,0.87,0.87,0.55,1.0,0.82,0.85,1.0,0.86,0.7,0.95,0.8,1.0,0.96,0.59,0.74,0.88
freenet.csv,0.71,0.84,0.82,0.8,0.73,0.7,0.96,0.94,0.98,0.78,0.75,0.84,0.9,0.84,0.79,0.48,0.89,0.98,0.9
google-caja.csv,0.66,0.78,0.68,0.76,0.83,0.89,0.93,0.85,0.92,0.55,0.86,0.98,0.85,0.77,0.85,0.81,0.93,0.91,1.0
k3b.csv,0.75,0.53,0.91,0.8,0.89,0.88,0.63,0.77,0.92,0.62,0.81,0.93,0.66,0.77,0.91,0.8,1.0,0.83,0.86
mediaportal.csv,0.19,0.28,0.06,0.48,0.29,0.2,0.26,0.32,0.4,0.14,0.25,0.18,0.55,0.05,0.38,0.37,0.04,0.26,0.28
myfaces.csv,0.54,0.47,0.26,0.74,0.49,0.58,0.41,0.26,0.73,0.38,0.36,0.49,0.55,0.52,0.44,0.7,0.07,0.47,0.68
onotoa.csv,0.51,0.5,0.29,0.65,0.37,0.66,0.41,0.35,0.5,0.5,0.81,0.26,0.42,0.61,0.68,0.33,0.3,0.5,0.46
paintown.csv,0.69,0.62,0.88,0.93,0.72,0.68,0.78,0.86,0.88,0.6,0.83,0.54,0.67,0.77,0.62,0.83,0.96,0.47,0.98
poormans.csv,0.25,0.5,0.15,0.43,0.54,0.23,0.85,0.35,0.62,0.41,0.42,0.21,0.88,0.32,0.74,0.04,0.26,0.53,0.3
sqlpower-library.csv,1.0,0.81,1.0,0.67,0.95,0.64,1.0,0.79,0.92,1.0,0.94,0.82,1.0,0.95,1.0,0.7,0.44,0.98,0.92
triplea.csv,0.63,0.72,0.59,0.8,0.92,0.64,0.93,0.87,0.98,0.76,0.81,0.75,0.87,0.75,0.97,0.96,0.96,0.9,0.92
xamj.csv,0.59,0.34,0.76,0.46,0.9,0.74,0.7,0.86,0.71,0.67,0.72,0.82,0.83,0.61,0.74,0.41,0.44,0.29,0.68
