,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.61,0.61,0.72,0.81,0.76,0.8,0.73,0.83,0.48,0.63,0.69,0.75,0.36,0.44,0.49,0.98,0.37,0.67,0.53
bzbyte.csv,0.25,0.0,0.69,0.69,0.23,0.9,0.57,0.0,0.0,0.83,0.69,0.83,0.0,0.78,0.35,0.91,0.29,0.87,0.0
chrysalis.csv,0.55,0.71,0.47,0.76,0.69,0.53,0.67,0.73,0.27,0.59,0.49,0.47,0.36,0.64,0.42,0.54,0.59,0.92,0.49
dspace-gsoc.csv,0.67,0.69,0.62,0.62,0.73,0.86,0.7,0.73,0.24,0.76,0.76,0.74,0.33,0.74,0.32,0.93,0.26,0.92,0.44
fbmanager.csv,0.59,0.5,0.74,0.72,0.31,0.4,0.63,0.67,0.43,0.43,0.51,0.66,0.0,0.61,0.51,0.41,0.38,0.83,0.51
fityk.csv,0.61,0.71,0.62,0.76,0.72,0.75,0.69,0.71,0.27,0.65,0.55,0.75,0.32,0.76,0.38,0.34,0.37,0.96,0.56
fleet-simulator.csv,0.6,0.72,0.55,0.82,0.76,0.65,0.67,0.8,0.35,0.83,0.78,0.75,0.34,0.74,0.46,0.98,0.31,0.84,0.51
freenet.csv,0.59,0.68,0.64,0.79,0.75,0.75,0.66,0.85,0.24,0.74,0.69,0.81,0.3,0.74,0.38,0.59,0.28,0.98,0.46
google-caja.csv,0.69,0.69,0.68,0.8,0.74,0.86,0.7,0.87,0.26,0.66,0.76,0.85,0.38,0.75,0.48,0.9,0.42,0.95,0.47
k3b.csv,0.65,0.61,0.7,0.77,0.78,0.85,0.61,0.75,0.24,0.73,0.73,0.83,0.33,0.72,0.34,0.82,0.29,0.9,0.45
mediaportal.csv,0.29,0.4,0.11,0.62,0.43,0.32,0.38,0.48,0.4,0.24,0.36,0.3,0.41,0.08,0.42,0.54,0.06,0.41,0.38
myfaces.csv,0.59,0.58,0.4,0.77,0.59,0.69,0.51,0.41,0.46,0.52,0.48,0.61,0.35,0.61,0.45,0.83,0.12,0.64,0.52
onotoa.csv,0.42,0.54,0.33,0.65,0.47,0.75,0.39,0.45,0.14,0.55,0.72,0.38,0.21,0.61,0.27,0.46,0.22,0.66,0.29
paintown.csv,0.72,0.63,0.69,0.82,0.71,0.73,0.56,0.78,0.23,0.68,0.79,0.65,0.32,0.76,0.27,0.84,0.3,0.63,0.46
poormans.csv,0.32,0.56,0.22,0.57,0.65,0.35,0.75,0.49,0.36,0.53,0.52,0.33,0.33,0.41,0.59,0.07,0.32,0.7,0.42
sqlpower-library.csv,0.65,0.67,0.69,0.75,0.79,0.71,0.67,0.78,0.27,0.83,0.76,0.78,0.32,0.78,0.39,0.81,0.25,0.98,0.51
triplea.csv,0.62,0.79,0.62,0.78,0.77,0.71,0.7,0.83,0.24,0.77,0.73,0.75,0.35,0.75,0.36,0.98,0.44,0.94,0.49
xamj.csv,0.61,0.47,0.66,0.6,0.76,0.78,0.63,0.8,0.42,0.74,0.71,0.81,0.33,0.69,0.46,0.58,0.35,0.45,0.62
