,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.1,0.02,0.45,0.16,0.14,0.17,0.13,0.46,0.09,0.09,0.07,0.31
emono.csv,0.07,0.06,0.05,0.03,0.32,0.1,0.03,0.14,0.04,0.21,0.57,0.02
freedom-erp.csv,0.05,0.02,0.1,0.0,0.06,0.03,0.0,0.01,0.03,0.03,0.0,0.0
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmoney.csv,0.0,0.1,0.2,0.11,0.2,0.6,0.11,0.33,0.14,0.11,0.54,0.02
jmonkeyengine.csv,0.07,0.11,0.1,0.24,0.0,0.4,0.2,0.09,0.05,0.36,0.06,0.0
jsidplay2.csv,0.46,0.22,0.0,0.5,0.8,0.6,0.28,0.6,0.41,0.62,0.52,1.0
matrex.csv,0.24,0.13,0.2,0.08,0.36,0.57,0.01,0.36,0.18,0.12,0.0,0.07
mediate.csv,0.27,0.57,0.35,0.26,0.58,0.03,0.4,0.63,0.54,0.35,0.52,0.6
mesa3d.csv,0.29,0.11,0.6,0.24,0.12,0.57,0.09,0.39,0.07,0.23,0.02,0.17
pustefix.csv,0.44,0.6,0.35,0.0,0.34,0.17,0.56,0.54,0.15,0.55,0.29,0.17
reaper3d.csv,0.05,0.17,0.05,0.13,0.02,0.4,0.32,0.0,0.0,0.26,0.0,0.02
