,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.0,0.95,0.35,0.16,0.07,0.3,0.26,0.24,0.0,0.0,0.17,0.3
emono.csv,0.29,0.07,0.1,0.11,0.47,0.32,0.09,0.31,0.0,0.0,0.55,0.99
freedom-erp.csv,0.18,0.0,0.31,0.0,0.0,0.12,0.09,1.0,0.0,0.0,0.0,0.01
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0
jmoney.csv,1.0,0.15,0.45,0.05,0.37,0.59,0.6,0.55,0.0,0.0,0.45,0.05
jmonkeyengine.csv,0.29,0.0,0.12,0.11,1.0,0.44,0.01,0.16,0.15,0.9,0.11,0.07
jsidplay2.csv,0.62,0.48,1.0,0.44,0.53,0.56,0.27,0.64,0.52,0.47,0.62,0.0
matrex.csv,0.71,0.29,0.5,0.05,0.13,0.44,0.97,0.57,0.14,0.0,0.0,0.13
mediate.csv,0.66,0.62,0.52,0.52,0.4,0.97,0.62,0.42,0.49,0.0,0.5,0.44
mesa3d.csv,0.44,0.15,0.32,0.34,0.26,0.57,0.17,0.66,0.29,0.54,0.91,0.17
pustefix.csv,0.23,0.6,0.44,0.93,0.42,0.25,0.27,0.35,0.29,0.8,0.42,0.13
reaper3d.csv,0.0,0.29,0.15,0.05,0.07,0.21,0.1,0.0,1.0,0.93,0.01,0.0
