,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.64,0.21,0.63,0.0,0.02,0.68,0.73,0.0,0.3,0.0,0.0,0.43,0.0
fido.csv,0.13,0.44,0.0,0.0,0.01,0.97,0.49,0.07,0.0,0.26,0.0,0.28,0.63
fleet-simulator.csv,0.77,0.51,0.72,0.51,0.53,0.27,0.56,0.46,0.21,0.97,0.38,0.6,0.76
fluent-nhibernate.csv,0.16,0.37,0.7,0.51,0.22,0.53,0.54,0.6,0.37,0.07,0.45,0.91,0.39
galaxium.csv,0.66,0.46,0.76,0.6,0.66,0.54,0.52,0.65,0.55,0.86,0.64,0.77,0.67
itext.csv,0.55,0.27,0.35,0.73,0.0,0.05,0.0,0.63,0.13,0.0,0.27,0.36,0.17
mecat.csv,0.26,0.18,0.0,0.07,0.37,0.0,0.06,0.06,0.98,0.0,0.0,0.28,0.0
mediaportal.csv,0.4,0.13,0.39,0.15,0.52,0.0,0.19,0.62,0.71,0.2,0.24,0.67,0.35
ninject.csv,0.5,0.49,0.53,0.64,0.79,0.29,0.46,0.51,0.37,0.0,0.96,0.57,0.39
smartgwt.csv,0.39,0.6,0.49,0.18,0.75,0.54,0.61,0.54,0.0,0.09,0.38,0.17,0.77
sqlpower-library.csv,0.72,0.52,0.38,0.0,0.41,0.27,0.46,0.0,0.56,0.76,0.5,0.75,0.57
stuproa-cims.csv,0.45,0.62,0.27,0.22,0.67,0.0,0.0,0.38,0.37,0.02,0.61,0.63,0.69
uface.csv,0.66,0.61,0.7,0.62,0.75,0.49,0.56,0.57,0.66,0.42,0.67,0.42,0.94
