,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.88,0.66,0.55,0.86,0.75,0.19,0.98,0.81,0.9,0.81,0.94,1.04,0.85,0.57
cme.csv,0.97,0.99,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,0.88,0.8,0.92,0.02
hydrate.csv,0.94,0.82,0.64,1.0,0.69,1.02,0.88,0.49,0.97,0.88,0.72,0.84,0.8,0.55,0.67
ivef-sdk.csv,0.6,0.75,0.64,0.73,0.79,0.0,0.9,1.0,0.8,0.81,0.72,0.84,1.0,1.0,0.61
jmri.csv,0.61,0.76,0.51,0.95,0.98,0.43,0.77,0.51,0.53,0.74,0.67,0.86,0.8,0.79,0.92
jython.csv,0.72,0.84,0.74,0.9,0.9,0.77,0.97,0.19,0.58,0.79,0.61,0.75,0.93,0.82,0.96
kdenlive.csv,0.45,0.74,0.67,0.94,0.57,1.05,0.74,0.99,0.87,0.75,0.84,0.66,0.69,0.64,0.69
ninject.csv,0.94,0.88,0.69,0.89,0.81,0.94,0.64,0.91,0.91,0.98,0.93,0.49,0.15,0.66,0.87
ondex.csv,0.62,0.7,0.56,0.67,0.95,1.0,0.84,0.95,0.73,0.8,0.58,0.92,0.81,0.74,0.75
opentibia.csv,0.72,0.28,0.67,0.67,0.67,0.96,0.77,0.54,0.84,0.95,0.8,0.96,0.62,0.77,1.01
projectfactory.csv,0.92,0.9,0.65,0.94,0.57,0.94,0.65,0.18,0.59,0.59,0.61,0.69,0.43,0.54,0.56
taverna.csv,0.75,0.79,0.93,0.9,0.39,0.9,0.5,1.06,0.78,0.75,0.78,0.72,1.0,0.97,0.64
tigermud.csv,0.88,0.84,0.84,0.61,0.63,1.0,1.0,0.82,0.97,0.92,0.8,0.53,0.33,0.65,1.02
unbvision.csv,0.46,0.69,0.68,0.84,0.88,1.31,0.87,0.98,0.41,0.75,0.72,0.82,0.68,0.58,0.87
x-ray-mule.csv,0.85,0.8,0.73,0.26,0.68,1.0,1.04,0.86,0.93,0.8,0.73,0.67,0.97,0.94,0.72
