,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,195.5,94.5,99.0,282.5,93.5,1867.5,73.5,99.0,184.0,99.0,489.5,94.5,717.0,95.5,657.0
cme.csv,94.5,91.5,88.5,0.0,0.0,0.0,0.0,36.5,0.0,0.0,85.5,94.5,199.5,112.0,68.5
hydrate.csv,79.5,94.5,99.0,0.0,97.5,425.0,153.0,99.0,95.0,96.5,193.0,94.5,50.5,91.5,657.5
ivef-sdk.csv,96.5,89.5,99.0,94.5,95.5,55.5,622.5,0.0,97.5,99.0,875.5,88.5,1177.5,0.0,1720.5
jmri.csv,96.5,89.5,99.0,96.5,1267.0,55.5,436.5,99.0,97.5,99.0,839.5,94.5,247.0,71.5,1415.5
jython.csv,294.0,94.5,99.0,96.5,348.0,1891.0,709.0,99.0,97.5,99.0,777.0,94.5,1177.5,97.5,1432.5
kdenlive.csv,294.0,98.5,99.0,96.5,97.5,2412.5,618.0,99.0,97.5,99.0,682.0,94.5,903.0,97.5,1247.5
ninject.csv,194.0,91.5,99.0,94.5,437.5,1992.0,80.5,151.5,139.0,96.5,175.0,98.5,82.5,91.5,232.5
ondex.csv,96.5,89.5,99.0,96.5,835.0,0.0,659.0,99.0,97.5,96.5,644.5,88.5,232.5,94.5,1092.5
opentibia.csv,187.0,98.5,99.0,94.5,97.5,104.0,616.5,198.0,97.5,38.5,368.0,98.5,125.0,97.5,214.5
projectfactory.csv,86.5,98.5,99.0,153.0,97.5,200.5,737.0,99.0,97.5,99.0,389.0,98.5,469.0,95.5,1531.5
taverna.csv,96.5,98.5,97.5,96.5,97.5,239.0,575.5,6119.0,97.5,444.5,95.5,94.5,143.0,80.5,512.5
tigermud.csv,195.0,94.5,99.0,185.0,97.5,0.0,82.0,137.5,151.0,99.0,95.5,98.5,254.5,97.5,403.0
unbvision.csv,195.5,98.5,99.0,96.5,771.5,2386.5,988.5,99.0,97.5,96.5,682.0,94.5,775.0,97.5,1415.5
x-ray-mule.csv,571.5,96.5,99.0,91.5,97.5,0.0,1023.5,36.5,97.5,99.0,586.0,98.5,1643.0,89.5,1081.0
