,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.5,0.55,0.72,0.26,0.78,0.86,0.4,0.67,0.88,0.5,0.71
cme.csv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.89,0.75,0.83,0.83
hydrate.csv,0.75,0.93,0.43,0.0,0.43,0.83,0.86,0.97,0.5,0.73,0.44,0.67,0.0,0.36,0.47
ivef-sdk.csv,0.49,0.55,0.67,0.92,0.64,0.61,0.68,0.0,0.47,0.47,0.55,0.91,0.5,0.0,0.59
jmri.csv,0.53,0.57,0.54,0.5,0.57,0.82,0.56,0.96,0.69,0.7,0.76,0.83,0.75,0.75,0.38
jython.csv,0.42,0.53,0.76,0.46,0.54,0.47,0.42,0.95,0.62,0.76,0.48,0.7,0.41,0.49,0.4
kdenlive.csv,0.42,0.46,0.4,0.42,0.4,0.51,0.55,0.26,0.49,0.42,0.31,0.42,0.42,0.37,0.34
ninject.csv,0.82,0.97,0.51,0.44,0.62,0.52,0.8,0.75,0.82,0.67,0.83,0.6,0.69,0.45,0.58
ondex.csv,0.53,0.54,0.56,0.55,0.71,0.0,0.52,0.27,0.91,0.92,0.72,0.8,0.89,0.63,0.39
opentibia.csv,0.6,0.45,0.78,0.72,0.51,0.75,0.45,0.97,0.9,0.75,0.94,0.48,0.8,0.4,0.86
projectfactory.csv,0.86,0.88,0.56,0.75,0.5,0.83,0.59,0.91,0.45,0.56,0.63,0.52,0.75,0.48,0.42
taverna.csv,0.7,0.62,0.96,0.42,0.69,0.9,0.73,0.26,0.71,0.64,0.97,0.69,0.5,0.0,0.77
tigermud.csv,0.82,0.78,0.47,0.91,0.62,0.0,0.5,0.89,0.75,0.92,0.62,0.57,0.52,0.4,0.9
unbvision.csv,0.46,0.46,0.53,0.5,0.52,0.42,0.54,0.25,0.54,0.54,0.32,0.5,0.8,0.48,0.36
x-ray-mule.csv,0.71,0.9,0.92,0.69,0.56,0.0,0.73,0.75,0.53,0.49,0.52,0.85,0.5,0.67,0.74
