,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.79,0.89,0.0,0.74,0.9,0.66,1.01,0.83,0.87,0.89,0.8
arsenal-1.csv,0.79,0.04,0.87,1.0,0.8,0.63,0.97,1.13,0.96,0.94,0.91
barracudamvc.csv,0.0,0.94,0.98,0.94,0.96,0.97,0.98,0.77,0.91,0.74,0.97
cascading.csv,0.63,0.54,0.48,0.6,0.98,0.81,0.55,0.82,0.06,0.75,0.7
emisview.csv,0.82,0.89,0.51,0.04,0.77,0.8,0.9,0.81,0.78,0.91,0.81
jitterbit.csv,0.65,0.68,0.51,0.71,0.82,0.05,0.65,0.85,0.79,0.88,0.61
jppf-project.csv,0.86,0.87,0.84,0.91,0.69,0.9,0.9,0.12,0.97,0.79,0.92
mevenide.csv,0.92,0.75,0.67,0.88,0.72,0.55,0.72,0.88,0.91,0.75,0.1
mycila.csv,0.78,0.74,0.63,0.93,0.78,0.91,0.1,0.9,0.74,0.56,0.89
ontopia.csv,0.87,0.95,0.86,0.87,0.84,0.96,0.36,0.87,0.81,0.0,0.96
trackit.csv,0.91,0.87,0.97,0.92,0.0,0.84,0.84,0.89,0.83,0.71,0.79
