,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.61,0.75,0.45,0.89,0.8,0.9,0.8,0.94,0.94,0.68,0.83
arsenal-1.csv,0.67,0.54,0.86,0.67,0.92,0.61,0.58,0.56,0.83,0.83,0.94
barracudamvc.csv,0.37,0.35,0.35,0.31,0.4,0.39,0.37,0.41,0.42,0.38,0.47
cascading.csv,0.49,0.35,0.37,0.43,0.65,0.75,0.55,0.34,0.43,0.49,0.44
emisview.csv,0.77,0.83,0.39,0.64,0.52,0.85,0.75,0.54,0.65,0.58,0.67
jitterbit.csv,0.55,0.53,0.44,0.65,0.83,0.73,0.67,0.93,0.81,0.89,0.7
jppf-project.csv,0.36,0.38,0.35,0.31,0.42,0.41,0.42,0.34,0.39,0.4,0.49
mevenide.csv,0.46,0.75,0.56,0.38,0.73,0.56,0.59,0.49,0.93,0.56,0.85
mycila.csv,0.74,0.68,0.5,0.91,0.62,0.93,0.89,0.93,0.71,0.44,0.84
ontopia.csv,0.43,0.41,0.57,0.33,0.45,0.5,0.8,0.53,0.6,0.37,0.69
trackit.csv,0.69,0.9,0.83,0.89,0.54,0.56,0.92,0.93,0.97,0.6,0.8
