,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.25,0.11,1.0,0.26,0.1,0.34,0.0,0.17,0.13,0.18,0.21
arsenal-1.csv,0.32,0.96,0.14,0.0,0.22,0.59,0.3,0.48,0.04,0.07,0.1
barracudamvc.csv,1.0,0.96,0.86,0.96,0.88,0.91,1.0,0.82,0.93,0.8,0.83
cascading.csv,0.45,0.67,0.77,0.57,0.15,0.22,0.6,0.66,0.99,0.45,0.52
emisview.csv,0.21,0.11,0.77,0.96,0.32,0.22,0.1,0.36,0.3,0.36,0.24
jitterbit.csv,0.53,0.7,0.64,0.35,0.2,0.95,0.4,0.15,0.22,0.12,0.55
jppf-project.csv,0.89,0.96,0.91,0.96,0.61,0.56,0.8,1.0,0.94,0.66,0.86
mevenide.csv,0.55,0.3,0.5,0.65,0.46,0.69,0.5,0.53,0.09,0.45,0.9
mycila.csv,0.28,0.33,0.45,0.09,0.41,0.13,0.9,0.13,0.32,0.64,0.14
ontopia.csv,0.65,0.81,0.32,0.91,0.88,0.39,0.7,0.55,0.55,1.0,0.28
trackit.csv,0.31,0.15,0.05,0.09,1.0,0.45,0.2,0.14,0.21,0.5,0.38
