,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.82,0.92,0.95,0.69,0.86,0.96,0.04,0.49,0.83,0.82,0.86
gstreamer.csv,0.45,0.54,0.52,0.6,0.72,0.75,0.61,0.55,0.61,0.04,0.65
ktc.csv,0.04,0.57,0.7,0.61,0.63,0.8,0.93,0.55,0.6,0.74,0.61
mbse.csv,0.54,0.69,0.06,0.82,0.75,0.9,0.76,0.77,0.73,0.76,0.65
nebuladevice.csv,0.91,0.86,0.79,0.91,0.97,1.03,0.96,0.89,0.07,0.88,0.78
neoengine.csv,0.63,0.04,0.65,0.79,0.55,0.55,0.71,0.77,0.68,0.89,0.63
openmalaria.csv,0.49,0.57,0.58,0.02,0.5,0.7,0.38,0.48,0.66,0.48,0.59
rtrt-on-gpu.csv,0.58,0.66,0.53,0.78,0.54,0.0,0.6,0.45,0.84,0.75,0.68
salasaga.csv,0.74,0.74,0.71,0.77,0.8,0.82,0.89,0.04,0.83,0.92,0.76
skia.csv,0.68,0.75,0.81,0.95,0.88,1.0,0.88,1.0,0.75,0.93,0.04
xemeiah.csv,0.45,0.46,0.85,0.86,0.0,0.72,0.55,0.47,0.58,0.71,0.62
