,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.81,0.91,0.95,0.67,0.83,0.88,0.04,0.44,0.83,0.77,0.85
gstreamer.csv,0.36,0.45,0.43,0.39,0.58,0.56,0.2,0.38,0.46,0.01,0.39
ktc.csv,0.01,0.24,0.07,0.12,0.14,0.08,0.68,0.3,0.28,0.13,0.24
mbse.csv,0.18,0.17,0.0,0.14,0.18,0.06,0.32,0.17,0.3,0.28,0.24
nebuladevice.csv,0.11,0.13,0.03,0.1,0.01,0.23,0.04,0.03,0.0,0.08,0.02
neoengine.csv,0.3,0.01,0.61,0.45,0.42,0.38,0.64,0.75,0.49,0.88,0.5
openmalaria.csv,0.44,0.52,0.57,0.0,0.36,0.35,0.24,0.43,0.63,0.34,0.48
rtrt-on-gpu.csv,0.29,0.17,0.38,0.18,0.24,0.0,0.36,0.32,0.27,0.47,0.2
salasaga.csv,0.61,0.47,0.46,0.59,0.68,0.81,0.8,0.0,0.69,0.79,0.65
skia.csv,0.1,0.17,0.11,0.04,0.01,0.06,0.08,0.0,0.15,0.06,0.0
xemeiah.csv,0.14,0.25,0.84,0.06,0.0,0.17,0.28,0.26,0.34,0.63,0.57
