,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.51,0.32,0.2,0.63,0.46,0.33,0.98,0.73,0.51,0.5,0.44
gstreamer.csv,0.71,0.66,0.68,0.56,0.53,0.49,0.46,0.61,0.59,0.97,0.5
ktc.csv,0.97,0.52,0.36,0.45,0.44,0.24,0.36,0.57,0.51,0.31,0.47
mbse.csv,0.53,0.38,0.95,0.23,0.31,0.12,0.35,0.29,0.37,0.34,0.43
nebuladevice.csv,0.12,0.18,0.26,0.12,0.04,0.0,0.05,0.13,0.94,0.16,0.26
neoengine.csv,0.48,0.97,0.63,0.39,0.63,0.6,0.59,0.58,0.53,0.39,0.58
openmalaria.csv,0.72,0.69,0.72,0.98,0.66,0.43,0.72,0.73,0.65,0.67,0.62
rtrt-on-gpu.csv,0.53,0.42,0.63,0.28,0.56,1.0,0.54,0.68,0.23,0.43,0.39
salasaga.csv,0.52,0.46,0.47,0.48,0.5,0.52,0.44,0.97,0.46,0.4,0.53
skia.csv,0.38,0.31,0.24,0.06,0.15,0.0,0.16,0.0,0.31,0.09,0.97
xemeiah.csv,0.61,0.63,0.46,0.17,1.0,0.34,0.56,0.63,0.55,0.59,0.65
