,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.34,0.52,0.82,0.04,0.34,0.58,0.84,0.2,0.05,0.45,0.47,0.29,0.92
avisynth2.csv,0.36,0.17,0.0,0.2,0.5,0.5,0.73,0.0,0.6,0.5,0.0,0.0,0.75
beast-mcmc.csv,0.56,0.53,0.57,0.03,0.64,0.61,0.87,0.53,0.07,0.6,0.48,0.3,0.83
dataobjectsdotnet.csv,0.41,0.48,0.55,0.0,0.24,0.61,0.74,0.38,0.07,0.57,0.48,0.26,0.58
exist.csv,0.32,0.54,0.55,0.02,0.27,0.79,0.71,0.35,0.05,0.41,0.4,0.29,0.73
foursquared.csv,0.57,0.38,0.75,0.0,0.33,0.59,0.87,0.72,0.14,0.89,0.56,0.33,0.67
jaxlib.csv,0.29,0.52,0.59,0.4,0.24,0.55,0.7,0.48,0.09,0.47,0.4,0.27,0.64
jrefactory.csv,0.23,0.72,0.55,0.04,0.27,0.58,0.63,0.3,0.0,0.34,0.42,0.3,0.64
nodal.csv,0.4,0.58,0.7,0.04,0.61,0.68,0.85,0.38,0.0,0.48,0.18,0.56,0.9
opendvr.csv,0.45,0.5,0.78,0.04,0.41,0.7,0.87,0.4,0.06,0.47,0.57,0.54,0.92
pokenetonline.csv,0.29,0.53,0.58,0.04,0.29,0.57,0.91,0.38,0.05,0.42,0.44,0.27,0.87
simplewebservices.csv,0.29,0.5,0.55,0.04,0.27,0.57,0.78,0.39,0.05,0.43,0.55,0.28,0.86
uface.csv,0.37,0.59,0.58,0.02,0.31,0.62,0.82,0.38,0.05,0.48,0.42,0.25,0.97
