,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.35,0.89,0.36,0.35,0.44,0.43,0.48,0.0,0.39,0.29
libtorrent.csv,0.53,0.55,0.7,0.57,0.55,0.73,0.63,0.55,0.74,0.61
mcmc-jags.csv,0.49,0.53,0.32,0.85,0.66,0.61,0.57,0.67,0.5,0.65
nebuladevice.csv,0.54,0.11,0.0,0.56,0.0,0.47,0.4,0.0,0.73,0.73
olap-navigator.csv,0.86,0.43,0.76,0.63,0.67,0.54,0.59,0.59,0.72,0.79
pidgin.csv,0.69,0.56,0.68,0.57,0.72,0.59,0.72,0.69,0.37,0.75
salasaga.csv,0.53,0.57,0.44,0.64,0.68,0.48,0.67,0.74,0.23,0.74
sepgsql.csv,0.66,0.61,0.78,0.38,0.69,0.44,0.59,0.57,0.09,0.81
xstore.csv,0.5,0.11,0.0,0.45,0.62,0.36,0.73,0.69,0.54,0.54
xtreemfs.csv,0.79,0.52,0.09,0.67,0.37,0.58,0.63,0.48,0.16,0.85
