,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.51,0.81,0.59,0.93,0.83,1.0,0.81,0.82,0.68,0.86,0.89,0.58,0.73
emono.csv,0.87,0.94,0.57,0.97,0.78,0.85,0.78,0.94,0.93,0.96,0.55,0.82,0.52
freedom-erp.csv,0.89,0.61,0.68,0.71,1.0,1.0,0.95,0.42,0.8,0.65,0.82,0.91,0.91
haggle.csv,0.75,0.48,0.72,0.61,0.51,0.76,0.9,0.98,0.8,0.65,0.88,0.86,0.89
jbpm.csv,0.89,0.29,1.0,0.87,0.84,1.0,0.98,0.76,1.0,0.92,1.0,0.97,1.0
jgossipforum.csv,0.9,0.83,1.02,0.63,0.66,0.79,0.88,0.96,0.08,0.64,0.34,0.74,0.73
joustsim.csv,0.81,0.41,0.77,0.84,0.57,0.9,0.89,1.0,0.31,0.12,0.58,0.94,0.76
log4net.csv,0.66,0.79,0.11,0.84,0.93,0.63,0.87,0.72,1.0,0.39,0.41,0.9,0.71
madman.csv,0.82,0.78,0.61,0.88,0.57,0.84,0.75,0.95,0.84,0.49,0.24,0.78,0.8
mediate.csv,0.94,0.73,0.62,0.73,0.66,0.54,0.77,0.6,0.53,0.79,0.76,0.59,0.78
pustefix.csv,0.95,0.55,0.73,0.5,0.88,0.96,0.59,0.88,1.01,1.0,0.7,0.66,0.78
synecdoche.csv,0.69,0.67,0.55,0.73,0.86,0.69,0.57,0.81,0.91,0.83,0.9,0.44,0.98
tmva.csv,0.65,0.85,0.7,0.87,0.66,0.7,0.44,1.0,0.78,0.92,0.71,0.64,0.58
