,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.24,0.64,0.72,0.68,0.54,0.42,0.85,0.67,0.43,0.67,0.56
gstreamer.csv,0.67,0.65,0.64,0.6,0.58,0.42,0.64,0.71,0.73,0.69,0.65
ktc.csv,0.74,0.67,0.72,0.56,0.28,0.24,0.42,0.62,0.54,0.63,0.52
mbse.csv,0.6,0.45,0.71,0.72,0.37,0.44,0.42,0.72,0.71,0.37,0.47
nebuladevice.csv,0.54,0.35,0.0,0.54,0.3,0.22,0.24,0.05,0.74,0.0,0.34
neoengine.csv,0.4,0.67,0.05,0.68,0.12,0.39,0.39,0.09,0.65,0.33,0.55
openmalaria.csv,0.52,0.7,0.7,0.78,0.67,0.57,0.74,0.59,0.59,0.69,0.63
rtrt-on-gpu.csv,0.63,0.6,0.21,0.63,0.56,0.72,0.43,0.35,0.61,0.56,0.68
salasaga.csv,0.62,0.6,0.67,0.36,0.72,0.68,0.3,0.68,0.37,0.63,0.55
skia.csv,0.64,0.6,0.66,0.64,0.26,0.45,0.59,0.6,0.47,0.34,0.63
xemeiah.csv,0.63,0.64,0.55,0.23,0.75,0.74,0.42,0.71,0.37,0.6,0.59
