,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.97,0.83,0.88,0.88,0.73,0.6,0.87,0.75,1.0,0.83,1.0
gstreamer.csv,0.75,0.77,0.82,0.86,0.78,0.4,0.6,0.86,0.87,0.69,0.7
ktc.csv,0.73,0.67,0.74,0.52,0.24,0.2,0.37,0.61,0.53,0.59,0.48
mbse.csv,0.6,0.4,0.71,0.74,0.33,0.4,0.37,0.79,0.73,0.32,0.43
nebuladevice.csv,0.53,0.32,0.0,0.52,0.27,0.2,0.2,0.04,0.73,0.0,0.3
neoengine.csv,0.35,0.67,1.0,0.71,0.1,0.4,0.34,1.0,0.73,0.94,0.57
openmalaria.csv,0.97,0.74,0.85,0.79,0.7,0.6,0.73,0.57,0.93,0.77,0.91
rtrt-on-gpu.csv,0.68,0.62,0.97,0.62,0.54,0.7,0.73,0.79,0.8,0.72,0.74
salasaga.csv,0.6,0.61,0.85,0.31,0.87,0.7,0.29,0.68,0.33,0.74,0.87
skia.csv,0.64,0.66,0.69,0.62,0.22,0.4,0.55,0.57,0.47,0.3,0.61
xemeiah.csv,0.61,0.8,0.88,0.19,0.76,0.8,0.48,0.75,0.33,0.74,0.74
