,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.68,0.55,0.62,0.24,0.4,1.0,1.0,0.34,0.75,0.05,1.0
avisynth2.csv,0.2,0.0,0.03,0.12,0.1,1.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.0,0.23,0.52,0.88,0.75,0.0,0.55,0.51,0.38,0.72,0.48
dsworkbench.csv,0.8,0.12,0.06,0.06,0.15,0.0,0.2,0.06,0.38,0.08,0.1
freelords.csv,0.64,0.45,0.66,0.59,0.95,0.67,0.34,0.6,0.75,0.68,0.48
gephex.csv,1.0,0.83,0.77,0.82,0.6,0.0,0.69,0.61,0.25,0.92,0.9
jas.csv,0.18,0.5,0.28,0.24,0.2,0.67,0.31,0.55,0.88,0.32,0.17
jpaul.csv,0.92,0.27,0.37,0.88,0.55,0.0,0.07,0.22,0.75,0.12,0.07
ngl.csv,0.94,0.73,0.71,0.82,0.8,1.0,0.73,0.65,0.88,0.82,0.52
scenemonitor.csv,0.82,0.35,0.39,0.59,0.75,0.0,0.37,0.67,0.12,0.2,0.14
synecdoche.csv,0.8,0.38,0.91,0.47,0.65,0.0,0.55,0.37,0.25,0.52,0.66
