,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.38,0.76,0.87,0.67,0.56,0.76,0.73,0.6,0.73,0.82,0.83,0.73,0.03,0.76,0.91,0.64,0.49
blogentis.csv,0.78,0.65,0.45,0.72,0.56,0.92,0.08,0.82,0.68,0.84,0.86,0.7,0.56,0.68,0.52,0.78,0.69
bochs.csv,0.93,0.84,0.45,0.82,0.37,0.89,0.89,0.96,0.03,0.88,1.0,0.84,0.61,0.84,1.05,0.8,0.67
galaxium.csv,1.0,0.69,0.9,0.79,0.98,0.53,0.74,0.73,0.97,0.75,1.0,0.85,0.6,0.06,0.5,0.89,0.92
gisgraphy.csv,1.0,0.55,0.72,0.72,0.69,0.69,0.79,0.88,0.71,0.94,0.85,0.71,0.63,0.84,0.81,0.62,0.09
haphazard.csv,0.51,0.9,0.91,0.89,1.01,0.77,0.96,0.87,0.91,0.0,0.9,0.91,0.92,0.78,0.87,0.75,0.6
ipfire-wall.csv,0.84,0.79,0.75,0.76,0.67,0.64,0.62,0.76,0.81,0.82,0.0,0.69,0.82,0.64,0.51,0.88,0.9
jmri.csv,0.62,0.76,0.58,0.04,0.96,0.6,0.81,0.74,0.73,0.75,0.81,0.68,0.63,0.57,0.63,0.58,0.7
jvcl.csv,1.0,0.0,1.0,0.74,1.0,0.96,0.84,0.8,0.99,0.66,1.0,1.0,0.61,1.0,0.63,1.0,0.57
kaffeine.csv,1.12,1.0,0.6,0.88,0.02,0.87,0.82,0.99,0.89,1.0,0.93,0.93,1.0,0.76,0.83,1.0,0.9
m-a-d-n-e-s-s.csv,1.0,0.72,0.73,0.58,0.84,0.64,0.67,0.65,0.81,0.73,0.69,0.04,0.5,0.7,0.54,0.47,0.47
magicwars.csv,1.0,0.92,1.0,0.95,1.0,0.78,0.93,0.05,0.97,0.82,1.0,0.91,0.97,0.92,0.33,1.0,0.94
nh3d.csv,0.0,1.0,0.88,0.99,0.88,1.0,0.96,0.96,0.94,1.0,0.84,0.92,0.9,0.94,0.82,0.95,1.0
opentibia.csv,0.47,0.78,0.0,0.74,0.56,0.67,0.57,0.61,0.89,0.75,0.92,0.91,0.71,0.67,0.44,0.86,0.89
sarasvati.csv,1.0,0.67,0.87,0.93,1.13,0.18,1.0,0.83,0.9,1.0,0.83,0.88,0.95,0.84,0.99,0.88,1.0
smartgwt.csv,1.0,0.83,0.78,0.61,1.01,0.66,0.79,0.89,0.85,0.76,0.64,0.61,0.7,0.59,0.02,0.62,0.49
tweetsharp.csv,0.25,0.7,0.57,0.7,0.44,0.65,0.77,0.94,0.58,0.98,0.87,0.72,0.52,0.68,0.65,0.02,0.75
