,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.52,0.74,0.61,0.57,0.36,0.75,0.91,0.82,0.36,0.97,0.78,0.84
gdis.csv,0.52,0.37,0.52,0.66,0.36,0.57,0.44,0.45,0.35,0.41,0.41,0.38
kml.csv,0.54,0.45,0.5,0.71,0.44,0.92,0.45,0.62,0.46,0.46,0.52,0.41
ppcboot.csv,0.62,0.44,0.52,0.75,0.52,0.92,0.74,0.57,0.5,0.6,0.71,0.38
repositorium.csv,0.86,0.48,0.71,0.71,0.81,0.89,0.94,0.67,0.66,0.41,0.79,0.35
rsyslog.csv,0.58,0.62,0.68,0.93,0.8,0.86,0.92,0.88,0.45,0.84,0.67,0.36
simplewebservices.csv,0.65,0.48,0.49,0.49,0.32,0.47,0.48,0.61,0.31,0.41,0.47,0.56
ultimairis.csv,0.55,0.39,0.46,0.6,0.35,0.77,0.77,0.43,0.35,0.47,0.53,0.49
wow-qrsk.csv,0.9,0.48,0.83,0.77,0.89,0.0,0.75,0.8,0.67,0.58,0.92,0.51
wxstudio.csv,0.68,0.97,0.63,0.93,0.79,0.97,0.7,0.93,0.82,0.86,0.56,0.92
xbg.csv,0.62,0.88,0.98,0.98,0.88,0.0,0.91,0.88,0.89,0.86,0.8,0.8
xqilla.csv,0.0,0.0,0.97,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.67,0.0
