,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.52,1.0,0.3,0.53,0.48,0.25,0.64,0.09,0.81,0.0,0.26,0.48
gdis.csv,0.68,0.33,0.23,0.47,0.62,0.09,0.25,0.18,1.0,0.0,0.5,0.43
kml.csv,0.61,0.42,0.24,0.57,1.0,0.33,0.35,0.19,0.85,0.02,0.48,0.44
ppcboot.csv,0.65,0.37,0.26,0.95,0.76,0.42,0.52,0.1,0.88,0.0,0.31,0.45
repositorium.csv,0.43,0.26,0.2,0.48,0.35,1.0,0.53,0.13,0.79,0.03,0.45,0.42
rsyslog.csv,1.0,0.38,0.47,0.72,0.87,0.29,0.67,0.25,0.91,0.04,0.44,0.42
simplewebservices.csv,0.47,0.31,0.24,0.51,0.6,0.09,0.41,0.09,0.86,0.03,0.5,0.97
ultimairis.csv,0.58,0.3,0.25,0.49,0.54,0.27,0.93,0.14,0.83,0.02,0.4,0.41
wow-qrsk.csv,0.8,0.35,0.99,0.56,0.33,0.0,0.25,0.05,1.0,0.04,0.33,0.56
wxstudio.csv,0.43,0.29,0.09,0.5,0.5,0.1,0.3,0.0,0.68,0.0,1.0,0.25
xbg.csv,0.75,0.38,0.3,0.69,0.62,1.0,0.45,1.0,0.89,0.03,0.4,0.35
xqilla.csv,1.0,0.0,0.38,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.67,0.0
